filename,latam_detected
36378.pdf,0
36719.pdf,0
37159.pdf,0
37188.pdf,0
35969.pdf,0
36137.pdf,0
36690.pdf,0
35022.pdf,0
35785.pdf,0
34662.pdf,0
36924.pdf,0
36556.pdf,0
34203.pdf,0
35443.pdf,0
35831.pdf,0
35492.pdf,0
35335.pdf,0
34575.pdf,0
34907.pdf,0
36587.pdf,0
36220.pdf,0
35754.pdf,0
36641.pdf,0
37001.pdf,0
35211.pdf,0
34823.pdf,0
34451.pdf,0
37544.pdf,0
36304.pdf,0
34797.pdf,0
35670.pdf,0
36765.pdf,0
37125.pdf,0
37653.pdf,0
36013.pdf,0
35106.pdf,0
34746.pdf,0
36800.pdf,0
37595.pdf,0
37232.pdf,0
34480.pdf,0
34327.pdf,0
35915.pdf,0
35567.pdf,0
35398.pdf,0
36958.pdf,0
36989.pdf,0
35349.pdf,0
34509.pdf,0
34168.pdf,0
35728.pdf,0
34456.pdf,0
34824.pdf,0
35216.pdf,0
36303.pdf,0
37543.pdf,0
35677.pdf,0
34790.pdf,0
37122.pdf,0
36762.pdf,0
36014.pdf,0
37654.pdf,0
34741.pdf,0
35101.pdf,0
37235.pdf,0
37592.pdf,0
36807.pdf,0
35560.pdf,0
35912.pdf,0
34320.pdf,0
34487.pdf,0
34619.pdf,0
35059.pdf,0
35438.pdf,0
34278.pdf,0
35088.pdf,0
34858.pdf,0
36068.pdf,0
37628.pdf,0
34889.pdf,0
36409.pdf,0
36697.pdf,0
36130.pdf,0
34665.pdf,0
35782.pdf,1
35025.pdf,0
36551.pdf,0
36923.pdf,0
35836.pdf,0
35444.pdf,0
34204.pdf,0
34900.pdf,0
34572.pdf,0
35332.pdf,0
35495.pdf,0
36227.pdf,0
36580.pdf,0
35753.pdf,0
37006.pdf,0
36646.pdf,0
35218.pdf,0
34458.pdf,0
35679.pdf,0
34489.pdf,0
36809.pdf,0
36142.pdf,0
35057.pdf,0
34617.pdf,0
36523.pdf,0
36951.pdf,0
36284.pdf,0
34276.pdf,0
35844.pdf,0
35436.pdf,0
35391.pdf,0
35895.pdf,0
35340.pdf,0
34972.pdf,0
34500.pdf,0
36980.pdf,0
36255.pdf,0
34161.pdf,0
35086.pdf,0
35721.pdf,0
36193.pdf,0
36634.pdf,0
37074.pdf,0
35264.pdf,0
34424.pdf,0
34856.pdf,0
34383.pdf,0
36371.pdf,0
35605.pdf,0
36710.pdf,0
37150.pdf,0
37181.pdf,0
37626.pdf,0
36066.pdf,0
35173.pdf,0
34733.pdf,0
36875.pdf,0
36407.pdf,0
34887.pdf,0
34352.pdf,0
35512.pdf,0
35960.pdf,0
36699.pdf,0
35838.pdf,0
36229.pdf,0
36648.pdf,0
37008.pdf,0
34384.pdf,0
34851.pdf,0
34423.pdf,0
35263.pdf,0
36376.pdf,0
35602.pdf,0
37157.pdf,0
36717.pdf,0
36061.pdf,0
37621.pdf,0
37186.pdf,0
34734.pdf,0
35174.pdf,0
36400.pdf,0
36872.pdf,0
35967.pdf,0
35515.pdf,0
34355.pdf,0
34880.pdf,0
36139.pdf,0
36558.pdf,0
36589.pdf,0
34909.pdf,0
34799.pdf,0
34748.pdf,0
35108.pdf,0
35569.pdf,0
34329.pdf,0
36145.pdf,0
34610.pdf,0
35050.pdf,0
36283.pdf,0
36956.pdf,0
36524.pdf,0
35396.pdf,0
35431.pdf,0
35843.pdf,0
34271.pdf,0
34507.pdf,0
34975.pdf,0
35347.pdf,0
35892.pdf,0
36252.pdf,0
36987.pdf,0
35726.pdf,0
35081.pdf,0
34166.pdf,0
37073.pdf,0
36633.pdf,0
36194.pdf,0
36392.pdf,0
36435.pdf,0
36847.pdf,0
35287.pdf,0
35952.pdf,0
35520.pdf,0
34360.pdf,0
36054.pdf,0
37614.pdf,0
34701.pdf,0
35141.pdf,0
35637.pdf,0
35190.pdf,0
