filename,latam_detected
getPDF.jsp?arnumber=11112839.pdf,0
getPDF.jsp?arnumber=11112961.pdf,0
getPDF.jsp?arnumber=11113095.pdf,0
getPDF.jsp?arnumber=11113044.pdf,0
getPDF.jsp?arnumber=11113160.pdf,0
getPDF.jsp?arnumber=11112894.pdf,0
getPDF.jsp?arnumber=11112845.pdf,0
getPDF.jsp?arnumber=11113038.pdf,0
getPDF.jsp?arnumber=11113167.pdf,0
getPDF.jsp?arnumber=11112893.pdf,0
getPDF.jsp?arnumber=11112842.pdf,0
getPDF.jsp?arnumber=11112966.pdf,0
getPDF.jsp?arnumber=11113092.pdf,0
getPDF.jsp?arnumber=11113043.pdf,0
getPDF.jsp?arnumber=11113169.pdf,0
getPDF.jsp?arnumber=11112914.pdf,0
getPDF.jsp?arnumber=11113031.pdf,0
getPDF.jsp?arnumber=11113115.pdf,0
getPDF.jsp?arnumber=11113202.pdf,0
getPDF.jsp?arnumber=11112968.pdf,0
getPDF.jsp?arnumber=11113112.pdf,0
getPDF.jsp?arnumber=11112837.pdf,0
getPDF.jsp?arnumber=11113205.pdf,0
getPDF.jsp?arnumber=11112913.pdf,0
getPDF.jsp?arnumber=11113036.pdf,0
getPDF.jsp?arnumber=11113230.pdf,0
getPDF.jsp?arnumber=11113127.pdf,0
getPDF.jsp?arnumber=11113003.pdf,0
getPDF.jsp?arnumber=11112926.pdf,0
getPDF.jsp?arnumber=11112879.pdf,0
getPDF.jsp?arnumber=11113004.pdf,0
getPDF.jsp?arnumber=11112921.pdf,0
getPDF.jsp?arnumber=11113237.pdf,0
getPDF.jsp?arnumber=11113120.pdf,0
getPDF.jsp?arnumber=11113078.pdf,0
getPDF.jsp?arnumber=11113183.pdf,0
getPDF.jsp?arnumber=11112877.pdf,0
getPDF.jsp?arnumber=11113152.pdf,0
getPDF.jsp?arnumber=11113239.pdf,0
getPDF.jsp?arnumber=11112982.pdf,0
getPDF.jsp?arnumber=11112953.pdf,0
getPDF.jsp?arnumber=11113129.pdf,0
getPDF.jsp?arnumber=11112985.pdf,0
getPDF.jsp?arnumber=11113071.pdf,0
getPDF.jsp?arnumber=11112954.pdf,0
getPDF.jsp?arnumber=11113184.pdf,0
getPDF.jsp?arnumber=11112870.pdf,0
getPDF.jsp?arnumber=11113155.pdf,0
getPDF.jsp?arnumber=11112928.pdf,0
getPDF.jsp?arnumber=11112945.pdf,0
getPDF.jsp?arnumber=11112994.pdf,0
getPDF.jsp?arnumber=11113060.pdf,0
getPDF.jsp?arnumber=11113138.pdf,0
getPDF.jsp?arnumber=11112939.pdf,0
getPDF.jsp?arnumber=11113144.pdf,0
getPDF.jsp?arnumber=11113195.pdf,0
