filename,latam_detected
getPDF.jsp?arnumber=11108142.pdf,0
getPDF.jsp?arnumber=11108139.pdf,0
getPDF.jsp?arnumber=11108145.pdf,0
getPDF.jsp?arnumber=11107463.pdf,0
getPDF.jsp?arnumber=11107464.pdf,0
getPDF.jsp?arnumber=11108161.pdf,0
getPDF.jsp?arnumber=11108154.pdf,0
getPDF.jsp?arnumber=11108153.pdf,0
getPDF.jsp?arnumber=11107465.pdf,0
getPDF.jsp?arnumber=11107462.pdf,0
getPDF.jsp?arnumber=11108138.pdf,0
getPDF.jsp?arnumber=11108144.pdf,0
getPDF.jsp?arnumber=11108143.pdf,0
getPDF.jsp?arnumber=11108131.pdf,0
getPDF.jsp?arnumber=11108136.pdf,0
getPDF.jsp?arnumber=11107459.pdf,0
getPDF.jsp?arnumber=11108152.pdf,0
getPDF.jsp?arnumber=11108158.pdf,0
getPDF.jsp?arnumber=11108156.pdf,0
getPDF.jsp?arnumber=11108151.pdf,0
getPDF.jsp?arnumber=11108164.pdf,0
getPDF.jsp?arnumber=11107470.pdf,0
getPDF.jsp?arnumber=11108163.pdf,0
getPDF.jsp?arnumber=11107468.pdf,0
getPDF.jsp?arnumber=11107461.pdf,0
getPDF.jsp?arnumber=11107466.pdf,0
getPDF.jsp?arnumber=11108140.pdf,0
getPDF.jsp?arnumber=11108147.pdf,0
getPDF.jsp?arnumber=11108135.pdf,0
getPDF.jsp?arnumber=11108149.pdf,0
getPDF.jsp?arnumber=11108132.pdf,0
getPDF.jsp?arnumber=11108162.pdf,0
getPDF.jsp?arnumber=11108157.pdf,0
getPDF.jsp?arnumber=11108159.pdf,0
getPDF.jsp?arnumber=11108133.pdf,0
getPDF.jsp?arnumber=11108134.pdf,0
getPDF.jsp?arnumber=11108146.pdf,0
getPDF.jsp?arnumber=11108141.pdf,0
getPDF.jsp?arnumber=11107467.pdf,0
getPDF.jsp?arnumber=11107460.pdf,0
getPDF.jsp?arnumber=11107469.pdf,0
