filename,latam_detected
pdf?id=mkDam1xIzW.pdf,0
pdf?id=h0vC0fm1q7.pdf,0
pdf?id=3fGtV4Zfgq.pdf,0
pdf?id=ePJrZLIqpV.pdf,0
pdf?id=EFZEdHB3Mp.pdf,0
pdf?id=ixMBnOhFGd.pdf,0
pdf?id=vwOq7twk7L.pdf,0
pdf?id=3xqqYOKILp.pdf,0
pdf?id=QQCIfkhGIq.pdf,0
pdf?id=bjcsVLoHYs.pdf,0
pdf?id=Tn8EQIFIMQ.pdf,0
pdf?id=9D2QvO1uWj.pdf,0
pdf?id=fectsEG2GU.pdf,0
pdf?id=ZjOXuAfS6l.pdf,0
pdf?id=FpiCLJrSW8.pdf,0
pdf?id=3ep9ZYMZS3.pdf,0
pdf?id=X6y5CC44HM.pdf,0
pdf?id=gI0kPklUKS.pdf,0
pdf?id=5pd78GmXC6.pdf,0
pdf?id=xjKz6IxgCX.pdf,0
pdf?id=uZFXpPrwSh.pdf,0
pdf?id=Igm9bbkzHC.pdf,0
pdf?id=eIgGesYKLG.pdf,0
pdf?id=2PRpcmJecX.pdf,0
pdf?id=wAXsx2MYgV.pdf,0
pdf?id=03OkC0LKDD.pdf,0
pdf?id=pHe4P1IVnb.pdf,0
pdf?id=qgsXsqahMq.pdf,0
pdf?id=XQlccqJpCC.pdf,0
pdf?id=wGa2plE8ka.pdf,0
pdf?id=X6VVK8pIzZ.pdf,0
pdf?id=0n4bS0R5MM.pdf,0
pdf?id=OmpTdjl7RV.pdf,0
pdf?id=Odtr1rzQMq.pdf,0
pdf?id=L9eBxTCpQG.pdf,0
pdf?id=hBGavkf61a.pdf,0
pdf?id=sKYHBTAxVa.pdf,0
pdf?id=7lUdo8Vuqa.pdf,0
pdf?id=uNomADvF3s.pdf,0
pdf?id=cp3aW7C5tD.pdf,0
pdf?id=SYmUS6qRub.pdf,0
pdf?id=IxmWIkcKs5.pdf,0
pdf?id=1jcnvghayD.pdf,0
pdf?id=J1J5eGJsKZ.pdf,0
pdf?id=j4gzziSUr0.pdf,0
pdf?id=mSGcDhQPwm.pdf,0
pdf?id=rbnf7oe6JQ.pdf,0
pdf?id=KL8Sm4xRn7.pdf,0
pdf?id=lLkgj7FEtZ.pdf,0
pdf?id=8ZLzw5pIrc.pdf,0
pdf?id=MGKDBuyv4p.pdf,0
pdf?id=UV5p3JZMjC.pdf,0
pdf?id=B5VEi5d3p2.pdf,0
pdf?id=OzUNDnpQyd.pdf,0
pdf?id=3TnLGGHhNx.pdf,0
pdf?id=WjKea8bGFF.pdf,0
pdf?id=a3PmRgAB5T.pdf,0
pdf?id=sCew1tR6No.pdf,0
pdf?id=V6uxd8MEqw.pdf,0
pdf?id=97rOQDPmk2.pdf,0
pdf?id=WttfQGwpES.pdf,0
pdf?id=oXh0939Zzq.pdf,0
pdf?id=T9u56s7mbk.pdf,0
pdf?id=85G2t3yklD.pdf,0
pdf?id=cJPUpL8mOw.pdf,0
pdf?id=tcsZt9ZNKD.pdf,0
pdf?id=hDBrQ4DApF.pdf,0
pdf?id=gFvRRCnQvX.pdf,0
pdf?id=xIUUnzrUtD.pdf,0
pdf?id=rK0YJwL69S.pdf,0
pdf?id=m08aK3xxdJ.pdf,0
pdf?id=z8sxoCYgmd.pdf,0
pdf?id=mEpqHvbD2h.pdf,0
pdf?id=lHbLpwbEyt.pdf,0
pdf?id=IHp3vOVQO2.pdf,0
pdf?id=kNHVViEPWK.pdf,0
pdf?id=Pj4Aid3XqL.pdf,0
pdf?id=CA06Nqa7CG.pdf,0
pdf?id=fxv0FfmDAg.pdf,0
pdf?id=u8VOQVzduP.pdf,0
pdf?id=s1kyHkdTmi.pdf,0
pdf?id=RTHbao4Mib.pdf,0
pdf?id=57NfyYxh5f.pdf,0
pdf?id=wozhdnRCtw.pdf,0
pdf?id=jfwe9qNqRi.pdf,0
pdf?id=4v4nmYWzBa.pdf,0
pdf?id=WNIEr5kydF.pdf,0
pdf?id=rkzabmWl5k.pdf,0
pdf?id=d9aWa875kj.pdf,0
pdf?id=ykD8a9gJvy.pdf,0
pdf?id=vNdOHr7mn5.pdf,0
pdf?id=UL8b54P96G.pdf,0
pdf?id=sMyXP8Tanm.pdf,0
pdf?id=KGZAs8VcOM.pdf,0
pdf?id=WQvkqarwXi.pdf,0
pdf?id=CtM5xjRSfm.pdf,0
pdf?id=kbOAIXKWgx.pdf,0
pdf?id=ym7pr83XQr.pdf,0
pdf?id=SIE6VFps9x.pdf,0
pdf?id=DSyHRkpI7v.pdf,0
pdf?id=Y4aWwRh25b.pdf,0
pdf?id=6z4YKr0GK6.pdf,0
pdf?id=hkdqxN3c7t.pdf,0
pdf?id=VEqPDZIDAh.pdf,0
pdf?id=WuTczPV8WC.pdf,0
pdf?id=72OSO38a2z.pdf,0
pdf?id=ltrxRX5t0H.pdf,0
pdf?id=khuIvzxPRp.pdf,0
pdf?id=kRoWeLTpL4.pdf,0
pdf?id=0pLCDJVVRD.pdf,0
pdf?id=izjNI5bcOV.pdf,0
pdf?id=imT03YXlG2.pdf,0
pdf?id=n2NidsYDop.pdf,0
pdf?id=9pW2J49flQ.pdf,0
pdf?id=8oCrlOaYcc.pdf,0
pdf?id=kVrwHLAb20.pdf,0
pdf?id=SG1R2H3fa1.pdf,0
pdf?id=5AtHrq3B5R.pdf,0
pdf?id=DCpukR83sw.pdf,0
pdf?id=0NAVeUm7sk.pdf,0
pdf?id=N6ba2xsmds.pdf,0
pdf?id=ywFOSIT9ik.pdf,0
pdf?id=QG31By6S6w.pdf,0
pdf?id=UsRKFYR4lM.pdf,0
pdf?id=rDe9yQQYKt.pdf,0
pdf?id=9TClCDZXeh.pdf,0
pdf?id=NQqJPPCesd.pdf,0
pdf?id=51WraMid8K.pdf,0
pdf?id=st77ShxP1K.pdf,0
pdf?id=0iscEAo2xB.pdf,0
pdf?id=bmbRCRiNDu.pdf,0
pdf?id=48WAZhwHHw.pdf,0
pdf?id=dWsdJAXjQD.pdf,0
pdf?id=7TZYM6Hm9p.pdf,0
pdf?id=yHj6EunfVQ.pdf,0
pdf?id=gLa96FlWwn.pdf,0
pdf?id=ix2yRWarPn.pdf,0
pdf?id=wgDB1QuxIA.pdf,0
pdf?id=BAglD6NGy0.pdf,0
pdf?id=Syt4fWwVm1.pdf,0
pdf?id=9WYMDgxDac.pdf,0
pdf?id=friHAl5ofG.pdf,0
pdf?id=A9y3LFX4ds.pdf,0
pdf?id=XAN8G0rvoB.pdf,0
pdf?id=S1Bv3068Xt.pdf,0
pdf?id=yEwakMNIex.pdf,0
pdf?id=60GeEoG5kD.pdf,0
pdf?id=rySLejeB1k.pdf,0
pdf?id=5BjQOUXq7i.pdf,0
pdf?id=KijslFbfOL.pdf,0
pdf?id=Llh6CinTiy.pdf,0
pdf?id=3l6PwssLNY.pdf,0
