filename,latam_detected
pdf?id=Eog0kXX7hW.pdf,0
pdf?id=TJHhXzTcQe.pdf,0
pdf?id=rvZv7sDPV9.pdf,0
pdf?id=tcMWVgYf8f.pdf,0
pdf?id=lvGmEDrIN9.pdf,0
pdf?id=fNixzmprun.pdf,0
pdf?id=I1OHPb4zWo.pdf,0
pdf?id=tVDZlyVMIZ.pdf,0
pdf?id=v26vwjxOEz.pdf,0
pdf?id=leh2A9fIhY.pdf,0
pdf?id=CXPhqbWTEo.pdf,1
pdf?id=pFQ3MnyIT6.pdf,0
pdf?id=A5vUx8S2yB.pdf,0
pdf?id=FU527ycGgW.pdf,0
pdf?id=zkxe5vASi8.pdf,0
pdf?id=o36quGYoQX.pdf,0
pdf?id=diFvAHoHry.pdf,0
pdf?id=6wglsDXIei.pdf,0
pdf?id=zZjLv6F0Ks.pdf,0
pdf?id=zf9zwCRKyP.pdf,0
pdf?id=UcnL2Xd3Qm.pdf,0
pdf?id=BnPaSXSmz1.pdf,0
pdf?id=Qqn5ktBUxH.pdf,0
pdf?id=kEn7Wt6Yj2.pdf,0
pdf?id=f6ibJCQfH4.pdf,0
pdf?id=PqpPrlAQqa.pdf,0
pdf?id=kcE0TdWKji.pdf,0
pdf?id=j2oXVBJ6YZ.pdf,0
pdf?id=2HJcVtuovs.pdf,0
pdf?id=5Rtj4mYH1C.pdf,0
pdf?id=eerZAppd4T.pdf,0
pdf?id=RNSd6G3lcD.pdf,0
pdf?id=OJ6WE7F8tK.pdf,0
pdf?id=qOLjAhxZgm.pdf,0
pdf?id=qkhgzNiEdj.pdf,0
pdf?id=f6SFHNfuMu.pdf,0
pdf?id=9rLxi2cnZC.pdf,0
pdf?id=6EZMWeV5sH.pdf,0
pdf?id=JVouJNs8Vr.pdf,0
pdf?id=3NLNmdheIi.pdf,0
pdf?id=4JbQK1qGpA.pdf,0
pdf?id=4ViG4gQD3i.pdf,0
pdf?id=GKqoqGCHTq.pdf,0
pdf?id=IHAnkPkoiX.pdf,0
pdf?id=zL6ljQvPzZ.pdf,0
pdf?id=rkHCHI5H5W.pdf,0
pdf?id=Cnfogmxymj.pdf,0
pdf?id=UeGo9RmpRY.pdf,0
pdf?id=RuMfpz8bTw.pdf,0
pdf?id=rqOlUTnKWh.pdf,0
pdf?id=QfD9P9IIoz.pdf,0
pdf?id=Qwy6JIA8Os.pdf,0
pdf?id=imcyVlzpXh.pdf,0
pdf?id=LFF7kUQ5Rp.pdf,0
pdf?id=sQ6lqdjGBX.pdf,0
pdf?id=9ppSGIfpzq.pdf,0
pdf?id=eYBA77XorT.pdf,0
pdf?id=y6aT5rlrlv.pdf,0
pdf?id=oJQWvsStNh.pdf,0
pdf?id=BiM4ewH9zD.pdf,0
pdf?id=BOrR7YqKUt.pdf,0
pdf?id=LyUfPOvM6I.pdf,0
pdf?id=ooUlq9jA2K.pdf,0
pdf?id=i6uxIAAMje.pdf,1
pdf?id=onumui0nHi.pdf,0
pdf?id=6p2wsBeYSs.pdf,0
pdf?id=9v1eW8HgMU.pdf,0
pdf?id=qR7YsQdFxV.pdf,0
pdf?id=8eQKjsVnN3.pdf,0
pdf?id=DVjkling5x.pdf,0
pdf?id=aYUjVw9zcO.pdf,0
pdf?id=N82967FcVK.pdf,0
pdf?id=qut63YypaD.pdf,0
pdf?id=EuDlvBqcSm.pdf,0
pdf?id=uzVShD7wHO.pdf,0
pdf?id=ij0vj0BC72.pdf,0
pdf?id=Bb0zKbPE0L.pdf,0
pdf?id=NxVuIhW2v1.pdf,0
pdf?id=ZeetWz8zbG.pdf,0
pdf?id=I8jMuUDOxK.pdf,0
pdf?id=bUGdGaNFhi.pdf,0
pdf?id=kV8oUyjdIg.pdf,0
pdf?id=cufJbug7du.pdf,0
pdf?id=22lwBrVUkU.pdf,0
pdf?id=1laMy7jPux.pdf,0
pdf?id=jnJLZXSOin.pdf,0
pdf?id=TFXxarWZzv.pdf,0
pdf?id=n8fJdB6GMZ.pdf,0
pdf?id=DgGF2LEBPS.pdf,0
pdf?id=rjZ2SWjwwB.pdf,0
pdf?id=QWpuqidr53.pdf,0
pdf?id=G80YGyxzv7.pdf,0
pdf?id=8tRtweTTwv.pdf,0
pdf?id=Vhktpw6Vid.pdf,0
pdf?id=ZTOVlPC5Vf.pdf,0
pdf?id=DYQW7QrOyq.pdf,0
pdf?id=yIfCq03hsM.pdf,0
pdf?id=2uheUFcFsM.pdf,0
pdf?id=sezgRffNiS.pdf,0
pdf?id=qkeYxpB9w0.pdf,0
pdf?id=6EZ3MDDf6p.pdf,0
pdf?id=6SIVFmjIm4.pdf,0
pdf?id=fFgiXamW8E.pdf,0
pdf?id=F1ff8zcjPp.pdf,0
pdf?id=uPgr7MzPKI.pdf,0
pdf?id=UWhW5YYLo6.pdf,0
pdf?id=sKYdVKE1tS.pdf,0
pdf?id=eIm0PQVu55.pdf,0
pdf?id=d8xnwqslqq.pdf,0
pdf?id=bwidSkOyWF.pdf,0
pdf?id=oyFAFpqaca.pdf,0
pdf?id=YufVk7I6Ii.pdf,0
