filename,latam_detected
getPDF.jsp?arnumber=11128065.pdf,0
getPDF.jsp?arnumber=11127904.pdf,0
getPDF.jsp?arnumber=11127576.pdf,0
getPDF.jsp?arnumber=11128404.pdf,0
getPDF.jsp?arnumber=11128372.pdf,0
getPDF.jsp?arnumber=11128713.pdf,0
getPDF.jsp?arnumber=11127661.pdf,0
getPDF.jsp?arnumber=11127358.pdf,0
getPDF.jsp?arnumber=11127739.pdf,0
getPDF.jsp?arnumber=11127389.pdf,0
getPDF.jsp?arnumber=11128019.pdf,0
getPDF.jsp?arnumber=11128478.pdf,0
getPDF.jsp?arnumber=11127978.pdf,0
getPDF.jsp?arnumber=11128256.pdf,0
getPDF.jsp?arnumber=11127324.pdf,0
getPDF.jsp?arnumber=11127483.pdf,0
getPDF.jsp?arnumber=11128637.pdf,0
getPDF.jsp?arnumber=11128190.pdf,0
getPDF.jsp?arnumber=11127745.pdf,0
getPDF.jsp?arnumber=11127794.pdf,0
getPDF.jsp?arnumber=11128141.pdf,0
getPDF.jsp?arnumber=11127452.pdf,0
getPDF.jsp?arnumber=11127820.pdf,0
getPDF.jsp?arnumber=11128287.pdf,0
getPDF.jsp?arnumber=11128520.pdf,0
getPDF.jsp?arnumber=11128309.pdf,0
getPDF.jsp?arnumber=11128768.pdf,0
getPDF.jsp?arnumber=11128251.pdf,0
getPDF.jsp?arnumber=11127484.pdf,0
getPDF.jsp?arnumber=11127323.pdf,0
getPDF.jsp?arnumber=11128197.pdf,0
getPDF.jsp?arnumber=11128630.pdf,0
getPDF.jsp?arnumber=11127742.pdf,0
getPDF.jsp?arnumber=11127793.pdf,0
getPDF.jsp?arnumber=11128146.pdf,0
getPDF.jsp?arnumber=11127827.pdf,0
getPDF.jsp?arnumber=11127455.pdf,0
getPDF.jsp?arnumber=11128527.pdf,0
getPDF.jsp?arnumber=11128280.pdf,0
getPDF.jsp?arnumber=11128062.pdf,0
getPDF.jsp?arnumber=11127571.pdf,0
