filename,latam_detected
0748.pdf,0
1108.pdf,0
0329.pdf,0
0799.pdf,0
0975.pdf,0
0507.pdf,0
1081.pdf,0
0166.pdf,0
0610.pdf,0
1050.pdf,0
0271.pdf,0
0734.pdf,0
0093.pdf,0
1174.pdf,0
0355.pdf,0
0880.pdf,0
0384.pdf,0
0423.pdf,0
0851.pdf,1
1263.pdf,0
0042.pdf,0
0909.pdf,0
1173.pdf,0
0094.pdf,0
0733.pdf,0
0887.pdf,0
0352.pdf,0
1264.pdf,0
0856.pdf,0
0424.pdf,0
0383.pdf,0
0045.pdf,0
0489.pdf,0
1218.pdf,0
0458.pdf,0
0039.pdf,0
0500.pdf,0
0972.pdf,0
0161.pdf,0
1086.pdf,0
1057.pdf,0
0617.pdf,0
0276.pdf,0
0889.pdf,0
0858.pdf,0
0572.pdf,0
0900.pdf,0
0113.pdf,0
0665.pdf,0
1025.pdf,0
0204.pdf,0
0741.pdf,0
1101.pdf,0
0320.pdf,0
0487.pdf,0
0824.pdf,0
0456.pdf,0
1216.pdf,0
0790.pdf,0
0037.pdf,0
1088.pdf,0
0619.pdf,0
1059.pdf,0
0278.pdf,0
1106.pdf,0
0746.pdf,0
0480.pdf,0
0327.pdf,0
1211.pdf,0
0451.pdf,0
0823.pdf,0
0030.pdf,0
0797.pdf,0
0509.pdf,0
0168.pdf,0
0907.pdf,0
0575.pdf,0
0114.pdf,0
1022.pdf,0
0662.pdf,0
0203.pdf,0
0005.pdf,0
1224.pdf,0
0464.pdf,0
0816.pdf,0
0312.pdf,0
1133.pdf,0
0773.pdf,0
0079.pdf,0
1258.pdf,0
0418.pdf,0
0591.pdf,0
0236.pdf,0
1017.pdf,0
0657.pdf,0
0121.pdf,0
0686.pdf,0
0932.pdf,0
0540.pdf,0
1199.pdf,0
0369.pdf,0
0708.pdf,0
1148.pdf,0
0231.pdf,0
0596.pdf,0
0650.pdf,0
1010.pdf,0
0681.pdf,0
0126.pdf,0
0547.pdf,0
0935.pdf,0
0002.pdf,0
0811.pdf,0
0463.pdf,0
1223.pdf,0
0315.pdf,0
0774.pdf,0
1134.pdf,0
0998.pdf,0
0949.pdf,0
0070.pdf,0
1197.pdf,0
1251.pdf,0
0863.pdf,0
0411.pdf,0
0367.pdf,0
1280.pdf,0
1146.pdf,0
0706.pdf,0
0598.pdf,0
0128.pdf,0
0549.pdf,0
0996.pdf,0
0243.pdf,0
1062.pdf,0
0185.pdf,0
0622.pdf,0
0154.pdf,0
0535.pdf,0
0947.pdf,0
0292.pdf,0
0818.pdf,0
0244.pdf,0
0991.pdf,0
0625.pdf,0
0182.pdf,0
1065.pdf,0
0153.pdf,0
0295.pdf,0
0940.pdf,0
0532.pdf,0
1190.pdf,0
0077.pdf,0
0416.pdf,0
0864.pdf,0
1256.pdf,0
0360.pdf,0
0701.pdf,0
1141.pdf,0
0238.pdf,0
0659.pdf,0
1019.pdf,0
0688.pdf,0
0142.pdf,0
0523.pdf,0
0951.pdf,0
0284.pdf,0
0980.pdf,0
0255.pdf,0
0193.pdf,0
0634.pdf,0
1074.pdf,0
0809.pdf,0
0699.pdf,0
0229.pdf,0
0648.pdf,0
1008.pdf,0
0371.pdf,0
0710.pdf,0
1150.pdf,0
1181.pdf,0
0066.pdf,0
0875.pdf,0
0407.pdf,0
1247.pdf,0
0139.pdf,0
0558.pdf,0
0589.pdf,0
0376.pdf,0
1157.pdf,0
0717.pdf,0
0061.pdf,0
1186.pdf,0
1240.pdf,0
0400.pdf,0
0872.pdf,0
0145.pdf,0
0283.pdf,0
0956.pdf,0
0524.pdf,0
0252.pdf,0
0987.pdf,0
1073.pdf,0
0633.pdf,0
0194.pdf,0
0137.pdf,0
0690.pdf,0
0924.pdf,0
0556.pdf,0
0587.pdf,0
0220.pdf,0
0641.pdf,0
1001.pdf,0
0378.pdf,0
0719.pdf,0
1159.pdf,0
1188.pdf,0
0958.pdf,0
0989.pdf,0
0304.pdf,0
0765.pdf,0
1125.pdf,0
0013.pdf,0
0472.pdf,0
0800.pdf,0
1232.pdf,0
0303.pdf,0
1122.pdf,0
0762.pdf,0
0014.pdf,0
1235.pdf,0
0807.pdf,0
0475.pdf,0
0697.pdf,0
0130.pdf,0
0551.pdf,0
0923.pdf,0
0227.pdf,0
0580.pdf,0
1006.pdf,0
0646.pdf,0
0068.pdf,0
1249.pdf,0
0409.pdf,0
0518.pdf,0
0179.pdf,0
1200.pdf,0
0832.pdf,0
0440.pdf,0
0786.pdf,0
0021.pdf,0
1117.pdf,0
0757.pdf,0
0336.pdf,0
0491.pdf,0
1033.pdf,0
0673.pdf,0
0212.pdf,0
0564.pdf,0
0916.pdf,0
0105.pdf,0
0674.pdf,0
1034.pdf,0
0215.pdf,0
0911.pdf,0
0563.pdf,0
0102.pdf,0
0849.pdf,0
0898.pdf,0
0608.pdf,0
1048.pdf,0
0269.pdf,0
1099.pdf,0
0447.pdf,0
0835.pdf,0
1207.pdf,0
0026.pdf,0
0781.pdf,0
0750.pdf,0
1110.pdf,0
0496.pdf,0
0331.pdf,0
1275.pdf,0
0392.pdf,0
0435.pdf,0
0847.pdf,0
0054.pdf,0
1162.pdf,0
0722.pdf,0
0085.pdf,0
0343.pdf,0
0896.pdf,0
1046.pdf,0
0606.pdf,0
0267.pdf,0
0963.pdf,0
0511.pdf,0
0170.pdf,0
1097.pdf,0
1209.pdf,0
0449.pdf,0
0028.pdf,0
0498.pdf,0
0601.pdf,0
1041.pdf,0
0260.pdf,0
0516.pdf,0
0964.pdf,0
1090.pdf,0
0177.pdf,0
0788.pdf,0
0759.pdf,0
1119.pdf,0
0338.pdf,0
0918.pdf,0
0840.pdf,0
0432.pdf,0
0395.pdf,0
1272.pdf,0
0053.pdf,0
0082.pdf,0
0725.pdf,0
1165.pdf,0
0891.pdf,0
0344.pdf,0
0819.pdf,0
0990.pdf,0
0245.pdf,0
0183.pdf,0
0624.pdf,0
1064.pdf,0
0152.pdf,0
0941.pdf,0
0533.pdf,0
0294.pdf,0
1191.pdf,0
0076.pdf,0
0417.pdf,0
0865.pdf,0
1257.pdf,0
0361.pdf,0
0700.pdf,0
1140.pdf,0
0239.pdf,0
0658.pdf,0
1018.pdf,0
0689.pdf,0
0071.pdf,0
1196.pdf,0
1250.pdf,0
0862.pdf,0
0410.pdf,0
0366.pdf,0
1147.pdf,0
0707.pdf,0
0599.pdf,0
0129.pdf,0
0548.pdf,0
0242.pdf,0
0997.pdf,0
1063.pdf,0
0623.pdf,0
0184.pdf,0
0155.pdf,0
0293.pdf,0
0534.pdf,0
0946.pdf,0
1198.pdf,0
0368.pdf,0
0709.pdf,0
1149.pdf,0
0597.pdf,0
0230.pdf,0
0651.pdf,0
1011.pdf,0
0127.pdf,0
0680.pdf,0
0546.pdf,0
0934.pdf,0
0003.pdf,0
0810.pdf,0
0462.pdf,0
1222.pdf,1
0314.pdf,0
0775.pdf,0
1135.pdf,0
0999.pdf,0
0948.pdf,0
0004.pdf,0
1225.pdf,0
0465.pdf,0
0817.pdf,0
0313.pdf,0
1132.pdf,0
0772.pdf,0
0078.pdf,0
1259.pdf,0
0419.pdf,0
0237.pdf,0
0590.pdf,0
1016.pdf,0
0656.pdf,0
0687.pdf,0
0120.pdf,0
0933.pdf,0
0541.pdf,0
1107.pdf,0
0747.pdf,0
0326.pdf,0
0481.pdf,0
1210.pdf,0
0450.pdf,0
0822.pdf,0
0796.pdf,0
0031.pdf,0
0508.pdf,0
0169.pdf,0
0906.pdf,0
0574.pdf,0
0115.pdf,0
1023.pdf,0
0663.pdf,0
0202.pdf,0
0888.pdf,0
0859.pdf,0
0573.pdf,0
0901.pdf,0
0112.pdf,0
0664.pdf,0
1024.pdf,0
0205.pdf,0
0740.pdf,0
1100.pdf,0
0486.pdf,0
0321.pdf,0
0825.pdf,0
0457.pdf,0
1217.pdf,0
0036.pdf,0
0791.pdf,0
1089.pdf,0
0618.pdf,0
1058.pdf,0
0279.pdf,0
1172.pdf,0
0732.pdf,0
0095.pdf,0
0353.pdf,0
0886.pdf,0
1265.pdf,0
0382.pdf,0
0857.pdf,0
0425.pdf,0
0044.pdf,0
0488.pdf,0
1219.pdf,0
0459.pdf,0
0038.pdf,0
0501.pdf,0
0973.pdf,0
0160.pdf,0
1087.pdf,0
1056.pdf,0
0616.pdf,0
0277.pdf,0
0749.pdf,0
1109.pdf,0
0328.pdf,0
0798.pdf,0
0974.pdf,0
0506.pdf,0
1080.pdf,0
0167.pdf,0
0611.pdf,0
1051.pdf,0
0270.pdf,0
0092.pdf,0
0735.pdf,0
1175.pdf,0
0881.pdf,0
0354.pdf,0
0422.pdf,0
0850.pdf,0
0385.pdf,0
1262.pdf,0
0043.pdf,0
0908.pdf,0
0600.pdf,0
1040.pdf,0
0261.pdf,0
0517.pdf,0
0965.pdf,0
1091.pdf,0
0176.pdf,0
0789.pdf,0
0758.pdf,0
1118.pdf,0
0339.pdf,0
0919.pdf,0
0394.pdf,0
0841.pdf,0
0433.pdf,0
1273.pdf,0
0052.pdf,0
0724.pdf,0
0083.pdf,0
1164.pdf,0
0345.pdf,0
0890.pdf,0
1274.pdf,0
0434.pdf,0
0846.pdf,0
0393.pdf,0
0055.pdf,0
1163.pdf,0
0084.pdf,0
0723.pdf,0
0897.pdf,0
0342.pdf,0
1047.pdf,0
0607.pdf,0
0266.pdf,0
0962.pdf,0
0510.pdf,0
0171.pdf,0
1096.pdf,0
1208.pdf,0
0448.pdf,0
0029.pdf,0
0499.pdf,0
0675.pdf,0
1035.pdf,0
0214.pdf,0
0910.pdf,0
0562.pdf,0
0103.pdf,0
0848.pdf,0
0899.pdf,0
0609.pdf,0
1049.pdf,0
0268.pdf,0
1098.pdf,0
0446.pdf,0
0834.pdf,0
1206.pdf,0
0780.pdf,0
0027.pdf,1
0751.pdf,0
1111.pdf,0
0330.pdf,0
0497.pdf,0
0519.pdf,0
0178.pdf,0
1201.pdf,0
