filename,latam_detected
pdf?id=z1wIUZtBmK.pdf,0
pdf?id=WbpXT0WL9S.pdf,0
pdf?id=41bIzD5sit.pdf,0
pdf?id=mVh0lIsdUl.pdf,0
pdf?id=MBQZwQ6vFd.pdf,0
pdf?id=cLJfumTWLI.pdf,0
pdf?id=p6Huickfj7.pdf,0
pdf?id=ZDbhQrgwoT.pdf,0
pdf?id=g2AAvmBwkS.pdf,0
pdf?id=nJ5GhQO35W.pdf,0
pdf?id=caSQXNsxXX.pdf,0
pdf?id=mBgGg30LZu.pdf,0
pdf?id=LkqK19tqgx.pdf,0
pdf?id=TfCXLp0Jgo.pdf,0
pdf?id=heIh4lkBEd.pdf,0
pdf?id=btW3QTadkW.pdf,0
pdf?id=6vcgsrK6pN.pdf,0
pdf?id=Mat9FTfiYD.pdf,0
pdf?id=RTjr4DnS79.pdf,0
pdf?id=5fKXeqtBuB.pdf,0
pdf?id=3oh7lBEF7X.pdf,0
pdf?id=N3UNXzWRRG.pdf,0
pdf?id=mt5knCQyq0.pdf,0
pdf?id=uiuA0ixKLd.pdf,0
pdf?id=jIJhQ51NxO.pdf,0
pdf?id=h3lyFa5e1W.pdf,0
pdf?id=xoNrbfbekM.pdf,0
pdf?id=EkoAKNikAj.pdf,0
pdf?id=fYW1PKawwJ.pdf,0
pdf?id=s4zitEu2R8.pdf,0
pdf?id=wab4BEAUt6.pdf,0
pdf?id=3p4272zl7q.pdf,0
pdf?id=1GCbcBJt83.pdf,0
pdf?id=4TUpqyDJbz.pdf,0
pdf?id=ZR2mdBrhJX.pdf,0
pdf?id=NBNwoHfMyf.pdf,0
pdf?id=ifneY2bnlQ.pdf,0
pdf?id=4H3xG3aDS1.pdf,0
pdf?id=zPgPDHupcE.pdf,0
pdf?id=V5efEA8nIr.pdf,0
pdf?id=wxplnh8z01.pdf,0
pdf?id=yjLew3Nd7z.pdf,0
pdf?id=F11iEhKoYp.pdf,0
pdf?id=AJAEHgM8lc.pdf,0
pdf?id=JSbVO7dNYE.pdf,0
pdf?id=tebG8q5EeK.pdf,0
pdf?id=nwlX15Wnr9.pdf,0
pdf?id=XTHI90js2e.pdf,0
pdf?id=4kTpb8pITI.pdf,0
pdf?id=mHHrnCWwrD.pdf,0
pdf?id=dY29IUPTuy.pdf,0
pdf?id=V8FnYzDX35.pdf,0
pdf?id=JbvSQm5h1l.pdf,0
pdf?id=mG9xItYI0D.pdf,0
pdf?id=ETgPUJfQE1.pdf,0
pdf?id=4jFSekBaDT.pdf,0
pdf?id=rOR5IZcwJx.pdf,0
pdf?id=t4irkwEXhr.pdf,0
pdf?id=3nza35A6I4.pdf,0
pdf?id=mZuFaBAVs6.pdf,0
pdf?id=qwwPhjDea0.pdf,0
pdf?id=XdCglv7Um7.pdf,0
pdf?id=feAzLLT9to.pdf,0
pdf?id=6eLlczxbrp.pdf,0
pdf?id=jiCLUPq5xv.pdf,0
pdf?id=wlqoUpuQrv.pdf,0
pdf?id=UBRFn7YKMe.pdf,0
pdf?id=6uKIm4bfEe.pdf,0
pdf?id=cdgVrsu7T5.pdf,0
pdf?id=n1hYQmpCSW.pdf,0
pdf?id=xUx2B2NHvj.pdf,0
pdf?id=obXGSmmG70.pdf,0
pdf?id=gxgPjFjGmd.pdf,0
pdf?id=kuoD6G0Suq.pdf,0
pdf?id=7bP1wHsJgR.pdf,0
pdf?id=7ieS4EYKnB.pdf,0
pdf?id=NCzNOKjKnD.pdf,0
pdf?id=nZ4mFzCZIx.pdf,0
pdf?id=YtsX7irxbq.pdf,0
pdf?id=2n6fd8QlEC.pdf,0
pdf?id=9LoVCfMLDl.pdf,0
pdf?id=ktC3cDu320.pdf,0
pdf?id=IIGiVRKJYa.pdf,0
pdf?id=KM2XzHq2Rm.pdf,0
pdf?id=Zn2ajV1kTQ.pdf,0
pdf?id=ZdQhQOXVku.pdf,0
pdf?id=fwJ1rRHT91.pdf,0
pdf?id=WO7rfbEGRU.pdf,0
pdf?id=HkTOnCUQ1z.pdf,0
pdf?id=mImUMLEpdf.pdf,0
pdf?id=crPlJvwHhS.pdf,0
pdf?id=m5wrqqcWbN.pdf,0
pdf?id=r2ykUnzuGt.pdf,0
pdf?id=hyolWgWWyg.pdf,0
pdf?id=mzlwDAQkgJ.pdf,0
pdf?id=bW9SJJ9cHN.pdf,0
pdf?id=eGcpmWdPg5.pdf,0
pdf?id=OixkI1jSZD.pdf,0
pdf?id=ZBlIh88GMA.pdf,0
pdf?id=ZnsR3waLUo.pdf,0
pdf?id=FQbkBcpcvA.pdf,0
pdf?id=3Cr6C2zNKw.pdf,0
pdf?id=ok3iIeuQV4.pdf,0
pdf?id=0KAdFd5zku.pdf,0
pdf?id=zOFxp98km2.pdf,0
pdf?id=vritEZz28d.pdf,0
pdf?id=IYVknFxsJb.pdf,0
pdf?id=yBWRrqPwyN.pdf,0
pdf?id=jCGwSLwOt9.pdf,0
pdf?id=bEYzeItoOH.pdf,0
pdf?id=snmF71gb7Q.pdf,0
pdf?id=pXoR0Sy4WQ.pdf,0
pdf?id=MO4U4mg0oT.pdf,0
pdf?id=wQfO6aEgbE.pdf,0
pdf?id=rRHuBZdDfY.pdf,0
pdf?id=pdlepT2alu.pdf,0
pdf?id=xhKsnxJ9FD.pdf,0
pdf?id=lMxuq0GNeC.pdf,0
pdf?id=fLx3vQPmDu.pdf,0
pdf?id=z4AMrCOetn.pdf,0
pdf?id=RBiyFxwGJm.pdf,0
pdf?id=LpY1jgtk8I.pdf,0
pdf?id=MGJVhzWa2s.pdf,0
pdf?id=1mokb8ohOQ.pdf,0
pdf?id=UuhoYEaUhT.pdf,0
pdf?id=5TTUwJGqHT.pdf,0
pdf?id=0XCZWAo7wN.pdf,0
pdf?id=pc6M9h3T9m.pdf,0
pdf?id=uIIxKnFmeY.pdf,0
pdf?id=DZnBoIAy4V.pdf,0
pdf?id=dGi2d5yDs4.pdf,0
pdf?id=UFtuhsTcYW.pdf,0
pdf?id=NatwrOmOvM.pdf,0
pdf?id=SoqzNbcBjy.pdf,0
pdf?id=JlVn0XRpy0.pdf,0
pdf?id=oCBKGw5HNf.pdf,0
pdf?id=HhCl2BIHfk.pdf,0
pdf?id=GtImvTta8x.pdf,0
pdf?id=5g9qls1V7Q.pdf,0
pdf?id=mPOQZMBKaN.pdf,0
pdf?id=kWZRLR7w52.pdf,0
pdf?id=8mFVIRTr7I.pdf,0
pdf?id=kZahfVKYbl.pdf,0
pdf?id=XbAtacZeEp.pdf,0
pdf?id=TE63KPCXWt.pdf,0
pdf?id=S2fswKCN9T.pdf,0
pdf?id=zp7W2QmxHS.pdf,0
pdf?id=u1j6RqH8nM.pdf,0
pdf?id=ZK7dqwWxex.pdf,0
pdf?id=FxV7Fvlm2T.pdf,0
pdf?id=a1fWrvr72O.pdf,0
pdf?id=1KylG7l2oQ.pdf,0
pdf?id=XoFJjBH1Oq.pdf,0
pdf?id=e96KCdEfRu.pdf,0
pdf?id=hT7Nj7SAQb.pdf,0
pdf?id=mVRphqQKnb.pdf,0
pdf?id=INqBOmwIpG.pdf,0
pdf?id=tYnJC5ba6j.pdf,0
pdf?id=2tqcROH3iO.pdf,0
pdf?id=hVoIz6xD9Q.pdf,0
pdf?id=KnqiC0znVF.pdf,0
pdf?id=bSs0d6NLiw.pdf,0
pdf?id=FDAI0PY9Qp.pdf,0
pdf?id=ud7VVZ693U.pdf,0
pdf?id=Bds54EfR9x.pdf,0
pdf?id=UGjWlxU6GY.pdf,0
pdf?id=Gvq2AfuVEA.pdf,0
pdf?id=TmU3yfLTsS.pdf,0
pdf?id=BcYfsMMpV1.pdf,0
pdf?id=EaTRrceoU9.pdf,0
pdf?id=lSLSzYuyfX.pdf,0
pdf?id=LuKlBH8DAT.pdf,0
pdf?id=xQH4lDLIC0.pdf,0
pdf?id=OGgV9hpVGD.pdf,0
pdf?id=n63KgrgVHG.pdf,0
pdf?id=qF5IrJfJDS.pdf,0
pdf?id=GkztRjE4P4.pdf,0
pdf?id=NMQUvjAY5x.pdf,0
pdf?id=cWlRC064GK.pdf,0
pdf?id=eIojV2epgX.pdf,0
pdf?id=fzyBjGrpp3.pdf,0
pdf?id=yG8vmj3EAU.pdf,0
pdf?id=g3EF5XsapH.pdf,0
pdf?id=qILtlupwrR.pdf,0
pdf?id=iLYV4iIC0c.pdf,0
pdf?id=VymXLPX6Ps.pdf,0
pdf?id=VNTj7PGlrz.pdf,0
pdf?id=KMbl8lg5Rv.pdf,0
pdf?id=ZL7RuWd6QK.pdf,0
pdf?id=eWxKpdAdXH.pdf,0
pdf?id=UX143QGvb8.pdf,0
pdf?id=XsUnSped3E.pdf,0
pdf?id=VUoY5kacG5.pdf,0
pdf?id=lovTDtbsdZ.pdf,0
pdf?id=7WgYEIOLdv.pdf,0
pdf?id=Qvvy0X63Fv.pdf,0
pdf?id=mnIox70nhO.pdf,0
pdf?id=BDKkFwskot.pdf,0
pdf?id=dX2BTCD02T.pdf,0
pdf?id=KkOMqJQiWU.pdf,0
pdf?id=di43GKTaPz.pdf,0
pdf?id=7wEvjzkNXg.pdf,0
