filename,latam_detected
pdf?id=Xpf5x3mLvn.pdf,0
pdf?id=VcUmuGXhaI.pdf,0
pdf?id=FRbNGgWqCX.pdf,0
pdf?id=N07WGSPh9l.pdf,0
pdf?id=pAd7qVrYPG.pdf,0
pdf?id=x1lSRe3hcO.pdf,0
pdf?id=JUBogzglgH.pdf,0
pdf?id=ck7euvU7V3.pdf,0
pdf?id=c6suff5nfX.pdf,0
pdf?id=jADagw65fi.pdf,0
pdf?id=YAGa8upUSA.pdf,0
pdf?id=AnJaRzEZZs.pdf,0
pdf?id=Xs7JM4VGHv.pdf,0
pdf?id=PFRandBfSz.pdf,0
pdf?id=q2VpjD7k1V.pdf,0
pdf?id=2dByqivksZ.pdf,0
pdf?id=SKU1vHS7zF.pdf,0
pdf?id=okvCWvaGU7.pdf,0
pdf?id=qaxf7q41aK.pdf,0
pdf?id=YIpvHrQAks.pdf,0
pdf?id=8ZH52QHIZV.pdf,0
pdf?id=qFShB5OHAb.pdf,0
pdf?id=dVKcLgcCLZ.pdf,0
pdf?id=fJMWkaT2HX.pdf,0
pdf?id=Vd5JXiX073.pdf,0
pdf?id=cvSWTtTGSZ.pdf,0
pdf?id=4GWfYyo6FS.pdf,0
pdf?id=W4ZyDMOYVx.pdf,0
pdf?id=MdEkxa6PV9.pdf,0
pdf?id=m8FVvs77dd.pdf,0
pdf?id=gDkQ5iesrI.pdf,0
pdf?id=uUCSrMlfD3.pdf,0
pdf?id=FLiMxTkIeu.pdf,0
pdf?id=a61AArHrMO.pdf,0
pdf?id=DlBSkCQGAw.pdf,0
pdf?id=b2rzUJbLmS.pdf,0
pdf?id=4SUtAp2cm0.pdf,0
pdf?id=bbQV3GQ6Zy.pdf,0
pdf?id=5YQAo0S3Hm.pdf,0
pdf?id=5XmZ5f5QVw.pdf,0
pdf?id=50gEiKEuUZ.pdf,0
pdf?id=gBxpAKxg22.pdf,0
pdf?id=GV7JmRqX70.pdf,0
pdf?id=63Tia99ofI.pdf,0
pdf?id=Qa4ADWDTIY.pdf,0
pdf?id=ukXJIhQaR5.pdf,0
pdf?id=Aa50oIovvD.pdf,0
pdf?id=PgA9rZoMY8.pdf,0
pdf?id=AgTASkryb6.pdf,0
pdf?id=8wyCbbzF4Q.pdf,0
