,title,paper_url,conference,year
0,Findings of the Association for Computational Linguistics: ACL 2025,https://aclanthology.org/2025.findings-acl.0.pdf,acl-sidetracks,2025
1,Explicit vs. Implicit: Investigating Social Bias in Large Language Models through Self-Reflection,https://aclanthology.org/2025.findings-acl.1.pdf,acl-sidetracks,2025
2,Beyond Perception: Evaluating Abstract Visual Reasoning through Multi-Stage Task,https://aclanthology.org/2025.findings-acl.2.pdf,acl-sidetracks,2025
3,How Numerical Precision Affects Arithmetical Reasoning Capabilities of LLMs,https://aclanthology.org/2025.findings-acl.3.pdf,acl-sidetracks,2025
4,Diversifying the Expert Knowledge for Task-Agnostic Pruning in Sparse Mixture-of-Experts,https://aclanthology.org/2025.findings-acl.4.pdf,acl-sidetracks,2025
5,A Persona-Aware LLM-Enhanced Framework for Multi-Session Personalized Dialogue Generation,https://aclanthology.org/2025.findings-acl.5.pdf,acl-sidetracks,2025
6,Exploring In-Image Machine Translation with Real-World Background,https://aclanthology.org/2025.findings-acl.6.pdf,acl-sidetracks,2025
7,BayesKD: Bayesian Knowledge Distillation for Compact LLMs in Constrained Fine-tuning Scenarios,https://aclanthology.org/2025.findings-acl.7.pdf,acl-sidetracks,2025
8,GOLFer: Smaller LMs-Generated Documents Hallucination Filter & Combiner for Query Expansion in Information Retrieval,https://aclanthology.org/2025.findings-acl.8.pdf,acl-sidetracks,2025
9,Exp4Fuse: A Rank Fusion Framework for Enhanced Sparse Retrieval using Large Language Model-based Query Expansion,https://aclanthology.org/2025.findings-acl.9.pdf,acl-sidetracks,2025
10,Emo Pillars: Knowledge Distillation to Support Fine-Grained Context-Aware and Context-Less Emotion Classification,https://aclanthology.org/2025.findings-acl.10.pdf,acl-sidetracks,2025
11,Multi-Prompting Decoder Helps Better Language Understanding,https://aclanthology.org/2025.findings-acl.11.pdf,acl-sidetracks,2025
12,Visual Cues Enhance Predictive Turn-Taking for Two-Party Human Interaction,https://aclanthology.org/2025.findings-acl.12.pdf,acl-sidetracks,2025
13,The Right Time Matters: Data Arrangement Affects Zero-Shot Generalization in Instruction Tuning,https://aclanthology.org/2025.findings-acl.13.pdf,acl-sidetracks,2025
14,"MFinMeeting: A Multilingual, Multi-Sector, and Multi-Task Financial Meeting Understanding Evaluation Dataset",https://aclanthology.org/2025.findings-acl.14.pdf,acl-sidetracks,2025
15,ODDA: An OODA-Driven Diverse Data Augmentation Framework for Low-Resource Relation Extraction,https://aclanthology.org/2025.findings-acl.15.pdf,acl-sidetracks,2025
