,title,conference,year,paper_url
0,Conference on Learning Theory 2025: Preface,colt,2025,https://raw.githubusercontent.com/mlresearch/v291/main/assets/haghtalab25a/haghtalab25a.pdf
1,Optimistic Q-learning for average reward and episodic reinforcement learning extended abstract,colt,2025,https://raw.githubusercontent.com/mlresearch/v291/main/assets/agrawal25a/agrawal25a.pdf
2,Computable learning of natural hypothesis classes,colt,2025,https://raw.githubusercontent.com/mlresearch/v291/main/assets/akbari25a/akbari25a.pdf
3,Better Private Distribution Testing by Leveraging Unverified Auxiliary Data,colt,2025,https://raw.githubusercontent.com/mlresearch/v291/main/assets/aliakbarpour25a/aliakbarpour25a.pdf
4,Regret Bounds for Robust Online Decision Making,colt,2025,https://raw.githubusercontent.com/mlresearch/v291/main/assets/appel25a/appel25a.pdf
5,Simplifying Adversarially Robust PAC Learning With Tolerance,colt,2025,https://raw.githubusercontent.com/mlresearch/v291/main/assets/ashtiani25a/ashtiani25a.pdf
6,Computational Intractability of Strategizing against Online Learners,colt,2025,https://raw.githubusercontent.com/mlresearch/v291/main/assets/assos25a/assos25a.pdf
7,Testing Thresholds and Spectral Properties of High-Dimensional Random Toroidal Graphs via Edgeworth-Style Expansions,colt,2025,https://raw.githubusercontent.com/mlresearch/v291/main/assets/baguley25a/baguley25a.pdf
8,Faster Acceleration for Steepest Descent,colt,2025,https://raw.githubusercontent.com/mlresearch/v291/main/assets/bai25a/bai25a.pdf
9,Thompson Sampling for Bandit Convex Optimisation,colt,2025,https://raw.githubusercontent.com/mlresearch/v291/main/assets/bakhtiari25a/bakhtiari25a.pdf
10,Metric Embeddings Beyond Bi-Lipschitz Distortion via Sherali-Adams,colt,2025,https://raw.githubusercontent.com/mlresearch/v291/main/assets/bakshi25a/bakshi25a.pdf
11,How to safely discard features based on aggregate SHAP values,colt,2025,https://raw.githubusercontent.com/mlresearch/v291/main/assets/bhattacharjee25a/bhattacharjee25a.pdf
12,Optimal Graph Reconstruction by Counting Connected Components in Induced Subgraphs,colt,2025,https://raw.githubusercontent.com/mlresearch/v291/main/assets/black25a/black25a.pdf
13,Learning Partitions with Optimal Query and Round Complexities,colt,2025,https://raw.githubusercontent.com/mlresearch/v291/main/assets/black25b/black25b.pdf
14,A Distributional-Lifting Theorem for PAC Learning,colt,2025,https://raw.githubusercontent.com/mlresearch/v291/main/assets/blanc25a/blanc25a.pdf
15,Stability and List-Replicability for Agnostic Learners,colt,2025,https://raw.githubusercontent.com/mlresearch/v291/main/assets/blondal25a/blondal25a.pdf
16,Proofs as Explanations: Short Certificates for Reliable Predictions,colt,2025,https://raw.githubusercontent.com/mlresearch/v291/main/assets/blum25a/blum25a.pdf
17,Accelerating Proximal Gradient Descent via Silver Stepsizes,colt,2025,https://raw.githubusercontent.com/mlresearch/v291/main/assets/bok25a/bok25a.pdf
18,Logarithmic regret of exploration in average reward Markov decision processes,colt,2025,https://raw.githubusercontent.com/mlresearch/v291/main/assets/boone25a/boone25a.pdf
19,Partial and Exact Recovery of a Random Hypergraph from its Graph Projection,colt,2025,https://raw.githubusercontent.com/mlresearch/v291/main/assets/bresler25a/bresler25a.pdf
20,Computational Equivalence of Spiked Covariance and Spiked Wigner Models via Gram-Schmidt Perturbation,colt,2025,https://raw.githubusercontent.com/mlresearch/v291/main/assets/bresler25b/bresler25b.pdf
21,Of Dice and Games: A Theory of Generalized Boosting,colt,2025,https://raw.githubusercontent.com/mlresearch/v291/main/assets/bressan25a/bressan25a.pdf
22,A Fine-grained Characterization of PAC Learnability,colt,2025,https://raw.githubusercontent.com/mlresearch/v291/main/assets/bressan25b/bressan25b.pdf
23,On the Convergence of Min-Max Langevin Dynamics and Algorithm,colt,2025,https://raw.githubusercontent.com/mlresearch/v291/main/assets/cai25a/cai25a.pdf
24,What Makes Treatment Effects Identifiable? Characterizations and Estimators Beyond Unconfoundedness (Extended Abstract),colt,2025,https://raw.githubusercontent.com/mlresearch/v291/main/assets/cai25b/cai25b.pdf
25,Information-theoretic reduction of deep neural networks to linear models in the overparametrized proportional regime,colt,2025,https://raw.githubusercontent.com/mlresearch/v291/main/assets/camilli25a/camilli25a.pdf
26,Market Making without Regret,colt,2025,https://raw.githubusercontent.com/mlresearch/v291/main/assets/cesa-bianchi25a/cesa-bianchi25a.pdf
27,Towards Fair Representation: Clustering and Consensus,colt,2025,https://raw.githubusercontent.com/mlresearch/v291/main/assets/chakraborty25a/chakraborty25a.pdf
28,Exploring Facets of Language Generation in the Limit,colt,2025,https://raw.githubusercontent.com/mlresearch/v291/main/assets/charikar25a/charikar25a.pdf
29,Deterministic Apple Tasting,colt,2025,https://raw.githubusercontent.com/mlresearch/v291/main/assets/chase25a/chase25a.pdf
30,DiscQuant: A Quantization Method for Neural Networks Inspired by Discrepancy Theory,colt,2025,https://raw.githubusercontent.com/mlresearch/v291/main/assets/chee25a/chee25a.pdf
