,title,paper_url,conference,year
0,Proceedings of the 2025 Conference on Empirical Methods in Natural Language Processing,https://aclanthology.org/2025.emnlp-main.0.pdf,emnlp,2025
1,Towards Automated Error Discovery: A Study in Conversational AI,https://aclanthology.org/2025.emnlp-main.1.pdf,emnlp,2025
2,Break the Checkbox: Challenging Closed-Style Evaluations of Cultural Alignment in LLMs,https://aclanthology.org/2025.emnlp-main.2.pdf,emnlp,2025
3,Biased Tales: Cultural and Topic Bias in Generating Children’s Stories,https://aclanthology.org/2025.emnlp-main.3.pdf,emnlp,2025
4,Large Language Models as Realistic Microservice Trace Generators,https://aclanthology.org/2025.emnlp-main.4.pdf,emnlp,2025
5,JUDGEBERT: Assessing Legal Meaning Preservation Between Sentences,https://aclanthology.org/2025.emnlp-main.5.pdf,emnlp,2025
6,QFrCoLA: a Quebec-French Corpus of Linguistic Acceptability Judgments,https://aclanthology.org/2025.emnlp-main.6.pdf,emnlp,2025
7,Revisiting LLM Value Probing Strategies: Are They Robust and Expressive?,https://aclanthology.org/2025.emnlp-main.7.pdf,emnlp,2025
8,A Systematic Analysis of Base Model Choice for Reward Modeling,https://aclanthology.org/2025.emnlp-main.8.pdf,emnlp,2025
9,Comparing Specialised Small and General Large Language Models on Text Classification: 100 Labelled Samples to Achieve Break-Even Performance,https://aclanthology.org/2025.emnlp-main.9.pdf,emnlp,2025
10,Is the Top Still Spinning? Evaluating Subjectivity in Narrative Understanding,https://aclanthology.org/2025.emnlp-main.10.pdf,emnlp,2025
11,MathTutorBench: A Benchmark for Measuring Open-ended Pedagogical Capabilities of LLM Tutors,https://aclanthology.org/2025.emnlp-main.11.pdf,emnlp,2025
12,Preemptive Detection and Correction of Misaligned Actions in LLM Agents,https://aclanthology.org/2025.emnlp-main.12.pdf,emnlp,2025
13,Fingerprinting LLMs through Survey Item Factor Correlation: A Case Study on Humor Style Questionnaire,https://aclanthology.org/2025.emnlp-main.13.pdf,emnlp,2025
14,Gradient-Attention Guided Dual-Masking Synergetic Framework for Robust Text-based Person Retrieval,https://aclanthology.org/2025.emnlp-main.14.pdf,emnlp,2025
15,From Problem-Solving to Teaching Problem-Solving: Aligning LLMs with Pedagogy using Reinforcement Learning,https://aclanthology.org/2025.emnlp-main.15.pdf,emnlp,2025
16,CompKBQA: Component-wise Task Decomposition for Knowledge Base Question Answering,https://aclanthology.org/2025.emnlp-main.16.pdf,emnlp,2025
17,Permutative Preference Alignment from Listwise Ranking of Human Judgments,https://aclanthology.org/2025.emnlp-main.17.pdf,emnlp,2025
18,ToneCraft: Cantonese Lyrics Generation with Harmony of Tones and Pitches,https://aclanthology.org/2025.emnlp-main.18.pdf,emnlp,2025
19,SensorLLM: Aligning Large Language Models with Motion Sensors for Human Activity Recognition,https://aclanthology.org/2025.emnlp-main.19.pdf,emnlp,2025
20,MixLoRA-DSI: Dynamically Expandable Mixture-of-LoRA Experts for Rehearsal-Free Generative Retrieval over Dynamic Corpora,https://aclanthology.org/2025.emnlp-main.20.pdf,emnlp,2025
21,ViClaim: A Multilingual Multilabel Dataset for Automatic Claim Detection in Videos,https://aclanthology.org/2025.emnlp-main.21.pdf,emnlp,2025
22,DeepResearcher: Scaling Deep Research via Reinforcement Learning in Real-world Environments,https://aclanthology.org/2025.emnlp-main.22.pdf,emnlp,2025
23,Mixture of Length and Pruning Experts for Knowledge Graphs Reasoning,https://aclanthology.org/2025.emnlp-main.23.pdf,emnlp,2025
24,MPRF: Interpretable Stance Detection through Multi-Path Reasoning Framework,https://aclanthology.org/2025.emnlp-main.24.pdf,emnlp,2025
25,Analyzing the Effects of Supervised Fine-Tuning on Model Knowledge from Token and Parameter Levels,https://aclanthology.org/2025.emnlp-main.25.pdf,emnlp,2025
26,JI2S: Joint Influence‐Aware Instruction Data Selection for Efficient Fine‐Tuning,https://aclanthology.org/2025.emnlp-main.26.pdf,emnlp,2025
27,SoundMind: RL-Incentivized Logic Reasoning for Audio-Language Models,https://aclanthology.org/2025.emnlp-main.27.pdf,emnlp,2025
28,"Seeing More, Saying More: Lightweight Language Experts are Dynamic Video Token Compressors",https://aclanthology.org/2025.emnlp-main.28.pdf,emnlp,2025
29,RoT: Enhancing Table Reasoning with Iterative Row-Wise Traversals,https://aclanthology.org/2025.emnlp-main.29.pdf,emnlp,2025
30,T-MAD: Target-driven Multimodal Alignment for Stance Detection,https://aclanthology.org/2025.emnlp-main.30.pdf,emnlp,2025
31,Emotion Transfer with Enhanced Prototype for Unseen Emotion Recognition in Conversation,https://aclanthology.org/2025.emnlp-main.31.pdf,emnlp,2025
32,PBI-Attack: Prior-Guided Bimodal Interactive Black-Box Jailbreak Attack for Toxicity Maximization,https://aclanthology.org/2025.emnlp-main.32.pdf,emnlp,2025
33,Training a Utility-based Retriever Through Shared Context Attribution for Retrieval-Augmented Language Models,https://aclanthology.org/2025.emnlp-main.33.pdf,emnlp,2025
34,SportReason: Evaluating Retrieval-Augmented Reasoning across Tables and Text for Sports Question Answering,https://aclanthology.org/2025.emnlp-main.34.pdf,emnlp,2025
35,MAC-Tuning: LLM Multi-Compositional Problem Reasoning with Enhanced Knowledge Boundary Awareness,https://aclanthology.org/2025.emnlp-main.35.pdf,emnlp,2025
36,CODI: Compressing Chain-of-Thought into Continuous Space via Self-Distillation,https://aclanthology.org/2025.emnlp-main.36.pdf,emnlp,2025
37,PAFT: Prompt-Agnostic Fine-Tuning,https://aclanthology.org/2025.emnlp-main.37.pdf,emnlp,2025
38,Theorem-Validated Reverse Chain-of-Thought Problem Generation for Geometric Reasoning,https://aclanthology.org/2025.emnlp-main.38.pdf,emnlp,2025
39,TACO: Enhancing Multimodal In-context Learning via Task Mapping-Guided Sequence Configuration,https://aclanthology.org/2025.emnlp-main.39.pdf,emnlp,2025
40,Towards Controllable Speech Synthesis in the Era of Large Language Models: A Systematic Survey,https://aclanthology.org/2025.emnlp-main.40.pdf,emnlp,2025
41,Automating Steering for Safe Multimodal Large Language Models,https://aclanthology.org/2025.emnlp-main.41.pdf,emnlp,2025
42,EMNLP: Educator-role Moral and Normative Large Language Models Profiling,https://aclanthology.org/2025.emnlp-main.42.pdf,emnlp,2025
43,TracSum: A New Benchmark for Aspect-Based Summarization with Sentence-Level Traceability in Medical Domain,https://aclanthology.org/2025.emnlp-main.43.pdf,emnlp,2025
44,Context Reasoner: Incentivizing Reasoning Capability for Contextualized Privacy and Safety Compliance via Reinforcement Learning,https://aclanthology.org/2025.emnlp-main.44.pdf,emnlp,2025
45,Towards General-Domain Word Sense Disambiguation: Distilling Large Language Model into Compact Disambiguator,https://aclanthology.org/2025.emnlp-main.45.pdf,emnlp,2025
46,SLoW: Select Low-frequency Words! Automatic Dictionary Selection for Translation on Large Language Models,https://aclanthology.org/2025.emnlp-main.46.pdf,emnlp,2025
47,Parallel Continuous Chain-of-Thought with Jacobi Iteration,https://aclanthology.org/2025.emnlp-main.47.pdf,emnlp,2025
48,EQA-RM: A Generative Embodied Reward Model with Test-time Scaling,https://aclanthology.org/2025.emnlp-main.48.pdf,emnlp,2025
49,Refusal-Aware Red Teaming: Exposing Inconsistency in Safety Evaluations,https://aclanthology.org/2025.emnlp-main.49.pdf,emnlp,2025
50,OmniThink: Expanding Knowledge Boundaries in Machine Writing through Thinking,https://aclanthology.org/2025.emnlp-main.50.pdf,emnlp,2025
51,LinkAlign: Scalable Schema Linking for Real-World Large-Scale Multi-Database Text-to-SQL,https://aclanthology.org/2025.emnlp-main.51.pdf,emnlp,2025
52,On Relation-Specific Neurons in Large Language Models,https://aclanthology.org/2025.emnlp-main.52.pdf,emnlp,2025
53,IPIGuard: A Novel Tool Dependency Graph-Based Defense Against Indirect Prompt Injection in LLM Agents,https://aclanthology.org/2025.emnlp-main.53.pdf,emnlp,2025
54,ProtoVQA: An Adaptable Prototypical Framework for Explainable Fine-Grained Visual Question Answering,https://aclanthology.org/2025.emnlp-main.54.pdf,emnlp,2025
