,title,paper_url,conference,year
0,Findings of the Association for Computational Linguistics: EMNLP 2025,https://aclanthology.org/2025.findings-emnlp.0.pdf,emnlp-sidetracks,2025
1,Automating Alternative Generation in Decision-Making,https://aclanthology.org/2025.findings-emnlp.1.pdf,emnlp-sidetracks,2025
2,Bias Analysis and Mitigation through Protected Attribute Detection and Regard Classification,https://aclanthology.org/2025.findings-emnlp.2.pdf,emnlp-sidetracks,2025
3,Large Language Models Might Not Care What You Are Saying: Prompt Format Beats Descriptions,https://aclanthology.org/2025.findings-emnlp.3.pdf,emnlp-sidetracks,2025
4,Boundary Matters: Leveraging Structured Text Plots for Long Text Outline Generation,https://aclanthology.org/2025.findings-emnlp.4.pdf,emnlp-sidetracks,2025
5,Can Large Language Models Personalize Dialogues to Generational Styles?,https://aclanthology.org/2025.findings-emnlp.5.pdf,emnlp-sidetracks,2025
6,Toward Optimal LLM Alignments Using Two-Player Games,https://aclanthology.org/2025.findings-emnlp.6.pdf,emnlp-sidetracks,2025
7,Structural Patent Classification Using Label Hierarchy Optimization,https://aclanthology.org/2025.findings-emnlp.7.pdf,emnlp-sidetracks,2025
8,Exploring Hyperbolic Hierarchical Structure for Multimodal Rumor Detection,https://aclanthology.org/2025.findings-emnlp.8.pdf,emnlp-sidetracks,2025
9,Multi-Surrogate-Objective Optimization for Neural Topic Models,https://aclanthology.org/2025.findings-emnlp.9.pdf,emnlp-sidetracks,2025
10,How Diversely Can Language Models Solve Problems? Exploring the Algorithmic Diversity of Model-Generated Code,https://aclanthology.org/2025.findings-emnlp.10.pdf,emnlp-sidetracks,2025
11,ReAL: How Can LLMs Simulate the Real Teacher? Retrieval-enhanced Agent for Adaptive Learning,https://aclanthology.org/2025.findings-emnlp.11.pdf,emnlp-sidetracks,2025
12,LLMsPark: A Benchmark for Evaluating Large Language Models in Strategic Gaming Contexts,https://aclanthology.org/2025.findings-emnlp.12.pdf,emnlp-sidetracks,2025
13,Versatile Framework for Song Generation with Prompt-based Control,https://aclanthology.org/2025.findings-emnlp.13.pdf,emnlp-sidetracks,2025
14,InsBank: Evolving Instruction Subset for Ongoing Alignment,https://aclanthology.org/2025.findings-emnlp.14.pdf,emnlp-sidetracks,2025
