,title,conference,year,paper_url
0,kh: Symmetry Understanding of 3D Shapes via Chirality Disentanglement,iccv,2025,https://openaccess.thecvf.com/content/ICCV2025/papers/Wang_kh_Symmetry_Understanding_of_3D_Shapes_via_Chirality_Disentanglement_ICCV_2025_paper.pdf
1,Efficient Adaptation of Pre-trained Vision Transformer underpinned by Approximately Orthogonal Fine-Tuning Strategy,iccv,2025,https://openaccess.thecvf.com/content/ICCV2025/papers/Yang_Efficient_Adaptation_of_Pre-trained_Vision_Transformer_underpinned_by_Approximately_Orthogonal_ICCV_2025_paper.pdf
2,MM-IFEngine: Towards Multimodal Instruction Following,iccv,2025,https://openaccess.thecvf.com/content/ICCV2025/papers/Ding_MM-IFEngine_Towards_Multimodal_Instruction_Following_ICCV_2025_paper.pdf
3,Who is a Better Talker: Subjective and Objective Quality Assessment for AI-Generated Talking Heads,iccv,2025,https://openaccess.thecvf.com/content/ICCV2025/papers/Zhou_Who_is_a_Better_Talker_Subjective_and_Objective_Quality_Assessment_ICCV_2025_paper.pdf
4,LayerAnimate: Layer-level Control for Animation,iccv,2025,https://openaccess.thecvf.com/content/ICCV2025/papers/Yang_LayerAnimate_Layer-level_Control_for_Animation_ICCV_2025_paper.pdf
5,Towards a Unified Copernicus Foundation Model for Earth Vision,iccv,2025,https://openaccess.thecvf.com/content/ICCV2025/papers/Wang_Towards_a_Unified_Copernicus_Foundation_Model_for_Earth_Vision_ICCV_2025_paper.pdf
6,"ROADWork: A Dataset and Benchmark for Learning to Recognize, Observe, Analyze and Drive Through Work Zones",iccv,2025,https://openaccess.thecvf.com/content/ICCV2025/papers/Ghosh_ROADWork_A_Dataset_and_Benchmark_for_Learning_to_Recognize_Observe_ICCV_2025_paper.pdf
7,Gradient Decomposition and Alignment for Incremental Object Detection,iccv,2025,https://openaccess.thecvf.com/content/ICCV2025/papers/Luo_Gradient_Decomposition_and_Alignment_for_Incremental_Object_Detection_ICCV_2025_paper.pdf
8,One Polyp Identifies All: One-Shot Polyp Segmentation with SAM via Cascaded Priors and Iterative Prompt Evolution,iccv,2025,https://openaccess.thecvf.com/content/ICCV2025/papers/Mao_One_Polyp_Identifies_All_One-Shot_Polyp_Segmentation_with_SAM_via_ICCV_2025_paper.pdf
9,Gradient Extrapolation for Debiased Representation Learning,iccv,2025,https://openaccess.thecvf.com/content/ICCV2025/papers/Asaad_Gradient_Extrapolation_for_Debiased_Representation_Learning_ICCV_2025_paper.pdf
10,From Gaze to Movement: Predicting Visual Attention for Autonomous Driving Human-Machine Interaction based on Programmatic Imitation Learning,iccv,2025,https://openaccess.thecvf.com/content/ICCV2025/papers/Huang_From_Gaze_to_Movement_Predicting_Visual_Attention_for_Autonomous_Driving_ICCV_2025_paper.pdf
11,Less-to-More Generalization: Unlocking More Controllability by In-Context Generation,iccv,2025,https://openaccess.thecvf.com/content/ICCV2025/papers/Wu_Less-to-More_Generalization_Unlocking_More_Controllability_by_In-Context_Generation_ICCV_2025_paper.pdf
12,Improving Large Vision and Language Models by Learning from a Panel of Peers,iccv,2025,https://openaccess.thecvf.com/content/ICCV2025/papers/Hernandez_Improving_Large_Vision_and_Language_Models_by_Learning_from_a_ICCV_2025_paper.pdf
13,Federated Representation Angle Learning,iccv,2025,https://openaccess.thecvf.com/content/ICCV2025/papers/Yi_Federated_Representation_Angle_Learning_ICCV_2025_paper.pdf
14,Why LVLMs Are More Prone to Hallucinations in Longer Responses: The Role of Context,iccv,2025,https://openaccess.thecvf.com/content/ICCV2025/papers/Zheng_Why_LVLMs_Are_More_Prone_to_Hallucinations_in_Longer_Responses_ICCV_2025_paper.pdf
15,Training-Free Personalization via Retrieval and Reasoning on Fingerprints,iccv,2025,https://openaccess.thecvf.com/content/ICCV2025/papers/Das_Training-Free_Personalization_via_Retrieval_and_Reasoning_on_Fingerprints_ICCV_2025_paper.pdf
16,How Far are AI-generated Videos from Simulating the 3D Visual World: A Learned 3D Evaluation Approach,iccv,2025,https://openaccess.thecvf.com/content/ICCV2025/papers/Chang_How_Far_are_AI-generated_Videos_from_Simulating_the_3D_Visual_ICCV_2025_paper.pdf
17,Rethinking Detecting Salient and Camouflaged Objects in Unconstrained Scenes,iccv,2025,https://openaccess.thecvf.com/content/ICCV2025/papers/Zhou_Rethinking_Detecting_Salient_and_Camouflaged_Objects_in_Unconstrained_Scenes_ICCV_2025_paper.pdf
18,OccluGaussian: Occlusion-Aware Gaussian Splatting for Large Scene Reconstruction and Rendering,iccv,2025,https://openaccess.thecvf.com/content/ICCV2025/papers/Liu_OccluGaussian_Occlusion-Aware_Gaussian_Splatting_for_Large_Scene_Reconstruction_and_Rendering_ICCV_2025_paper.pdf
19,VisionMath: Vision-Form Mathematical Problem-Solving,iccv,2025,https://openaccess.thecvf.com/content/ICCV2025/papers/Ma_VisionMath_Vision-Form_Mathematical_Problem-Solving_ICCV_2025_paper.pdf
20,Unsupervised RGB-D Point Cloud Registration for Scenes with Low Overlap and Photometric Inconsistency,iccv,2025,https://openaccess.thecvf.com/content/ICCV2025/papers/Shou_Unsupervised_RGB-D_Point_Cloud_Registration_for_Scenes_with_Low_Overlap_ICCV_2025_paper.pdf
21,CWNet: Causal Wavelet Network for Low-Light Image Enhancement,iccv,2025,https://openaccess.thecvf.com/content/ICCV2025/papers/Zhang_CWNet_Causal_Wavelet_Network_for_Low-Light_Image_Enhancement_ICCV_2025_paper.pdf
22,Demeter: A Parametric Model of Crop Plant Morphology from the Real World,iccv,2025,https://openaccess.thecvf.com/content/ICCV2025/papers/Cheng_Demeter_A_Parametric_Model_of_Crop_Plant_Morphology_from_the_ICCV_2025_paper.pdf
23,VideoLLaMB: Long Streaming Video Understanding with Recurrent Memory Bridges,iccv,2025,https://openaccess.thecvf.com/content/ICCV2025/papers/Wang_VideoLLaMB_Long_Streaming_Video_Understanding_with_Recurrent_Memory_Bridges_ICCV_2025_paper.pdf
24,Automated Red Teaming for Text-to-Image Models through Feedback-Guided Prompt Iteration with Vision-Language Models,iccv,2025,https://openaccess.thecvf.com/content/ICCV2025/papers/Xu_Automated_Red_Teaming_for_Text-to-Image_Models_through_Feedback-Guided_Prompt_Iteration_ICCV_2025_paper.pdf
25,CoA-VLA: Improving Vision-Language-Action Models via Visual-Text Chain-of-Affordance,iccv,2025,https://openaccess.thecvf.com/content/ICCV2025/papers/Li_CoA-VLA_Improving_Vision-Language-Action_Models_via_Visual-Text_Chain-of-Affordance_ICCV_2025_paper.pdf
26,HiERO: Understanding the Hierarchy of Human Behavior Enhances Reasoning on Egocentric Videos,iccv,2025,https://openaccess.thecvf.com/content/ICCV2025/papers/Peirone_HiERO_Understanding_the_Hierarchy_of_Human_Behavior_Enhances_Reasoning_on_ICCV_2025_paper.pdf
27,FVGen: Accelerating Novel-View Synthesis with Adversarial Video Diffusion Distillation,iccv,2025,https://openaccess.thecvf.com/content/ICCV2025/papers/Teng_FVGen_Accelerating_Novel-View_Synthesis_with_Adversarial_Video_Diffusion_Distillation_ICCV_2025_paper.pdf
28,ZFusion: Efficient Deep Compositional Zero-shot Learning for Blind Image Super-Resolution with Generative Diffusion Prior,iccv,2025,https://openaccess.thecvf.com/content/ICCV2025/papers/Esmaeilzehi_ZFusion_Efficient_Deep_Compositional_Zero-shot_Learning_for_Blind_Image_Super-Resolution_ICCV_2025_paper.pdf
29,Doodle Your Keypoints: Sketch-Based Few-Shot Keypoint Detection,iccv,2025,https://openaccess.thecvf.com/content/ICCV2025/papers/Maity_Doodle_Your_Keypoints_Sketch-Based_Few-Shot_Keypoint_Detection_ICCV_2025_paper.pdf
30,Open-Vocabulary Octree-Graph for 3D Scene Understanding,iccv,2025,https://openaccess.thecvf.com/content/ICCV2025/papers/Wang_Open-Vocabulary_Octree-Graph_for_3D_Scene_Understanding_ICCV_2025_paper.pdf
31,FlexGen: Flexible Multi-View Generation from Text and Image Inputs,iccv,2025,https://openaccess.thecvf.com/content/ICCV2025/papers/Xu_FlexGen_Flexible_Multi-View_Generation_from_Text_and_Image_Inputs_ICCV_2025_paper.pdf
32,SummDiff: Generative Modeling of Video Summarization with Diffusion,iccv,2025,https://openaccess.thecvf.com/content/ICCV2025/papers/Kim_SummDiff_Generative_Modeling_of_Video_Summarization_with_Diffusion_ICCV_2025_paper.pdf
