,title,authors,paper_url
0,Dynamic Temporal Gating Networks for Cross-Modal Valence-Arousal Estimation,"['Yubeen Lee', 'Sangeun Lee', 'Chaewon Park', 'Junyeop Cha', 'Eunil Park']",https://openaccess.thecvf.com/content/ICCV2025W/ABAW/papers/Lee_Dynamic_Temporal_Gating_Networks_for_Cross-Modal_Valence-Arousal_Estimation_ICCVW_2025_paper.pdf
1,Experimental Evaluation of the Impact of Robot Path Shape and Speed on Human Affective States in a Hallway-Passing Scenario,"['Benjamin Greenberg', 'Michael Grossi', 'Sai Likhith Karri', 'Jingang Yi', 'Jacob Feldman', 'Karin Stromswold']",https://openaccess.thecvf.com/content/ICCV2025W/ABAW/papers/Greenberg_Experimental_Evaluation_of_the_Impact_of_Robot_Path_Shape_and_ICCVW_2025_paper.pdf
2,Sweating the Stress: GSR Insights into Cognitive Load and Distraction,"['Santiago Clemente', 'Layla Varghese', 'Valentina Nino', 'Maria Valero']",https://openaccess.thecvf.com/content/ICCV2025W/ABAW/papers/Clemente_Sweating_the_Stress_GSR_Insights_into_Cognitive_Load_and_Distraction_ICCVW_2025_paper.pdf
3,From Emotions to Violence: Multimodal Fine-Grained Behavior Analysis at the 9th ABAW,"['Dimitrios Kollias', 'Stefanos Zafeiriou', 'Irene Kotsia', 'Greg Slabaugh', 'Damith Chamalke Senadeera', 'Jianian Zheng', 'Kaushal Kumar Keshlal Yadav', 'Chunchang Shao', 'Guanyu Hu']",https://openaccess.thecvf.com/content/ICCV2025W/ABAW/papers/Kollias_From_Emotions_to_Violence_Multimodal_Fine-Grained_Behavior_Analysis_at_the_ICCVW_2025_paper.pdf
4,Zero-Shot Multimodal Compound Expression Recognition Approach using Off-the-Shelf Large Visual-Language Models,"['Elena Ryumina', 'Maxim Markitantov', 'Alexandr Axyonov', 'Dmitry Ryumin', 'Mikhail Dolgushin', 'Alexey Karpov']",https://openaccess.thecvf.com/content/ICCV2025W/ABAW/papers/Ryumina_Zero-Shot_Multimodal_Compound_Expression_Recognition_Approach_using_Off-the-Shelf_Large_Visual-Language_ICCVW_2025_paper.pdf
5,Valeo Near-Field: a novel dataset for pedestrian intent detection,"['Antonyo Musabini', 'Jagdish Bhanushali', 'Rachid Benmokhtar', 'Victor Galizzi', 'Bertrand Luvison', 'Xavier Perrotton']",https://openaccess.thecvf.com/content/ICCV2025W/ABAW/papers/Musabini_Valeo_Near-Field_a_novel_dataset_for_pedestrian_intent_detection_ICCVW_2025_paper.pdf
6,A Multimodal Dataset of Viewer Responses to Japanese Manzai Comedy,"['Kazuki Kawamura', 'Nakai Kengo', 'Jun Rekimoto']",https://openaccess.thecvf.com/content/ICCV2025W/ABAW/papers/Kawamura_A_Multimodal_Dataset_of_Viewer_Responses_to_Japanese_Manzai_Comedy_ICCVW_2025_paper.pdf
7,On the Use of Hierarchical Vision Foundation Models for Low-Cost Human Mesh Recovery and Pose Estimation,"['Shuhei Tarashima', 'Yushan Wang', 'Norio Tagawa']",https://openaccess.thecvf.com/content/ICCV2025W/ABAW/papers/Tarashima_On_the_Use_of_Hierarchical_Vision_Foundation_Models_for_Low-Cost_ICCVW_2025_paper.pdf
8,Aligning Multimodal Data for Fine-Grained Video Understanding via Cross-Attentive Recurrent Fusion,"['Nam-Ho Kim', 'Jun-Hwa Kim']",https://openaccess.thecvf.com/content/ICCV2025W/ABAW/papers/Kim_Aligning_Multimodal_Data_for_Fine-Grained_Video_Understanding_via_Cross-Attentive_Recurrent_ICCVW_2025_paper.pdf
9,DEAP DIVE: Dataset Investigation with Vision transformers for EEG evaluation,"['Annemarie Hoffsommer', 'Helen Schneider', 'Svetlana Pavlitska', 'Marius Zöllner']",https://openaccess.thecvf.com/content/ICCV2025W/ABAW/papers/Hoffsommer_DEAP_DIVE_Dataset_Investigation_with_Vision_transformers_for_EEG_evaluation_ICCVW_2025_paper.pdf
