,title,conference,year,paper_url
0,A Message from the Chairs,icde,2025,https://ieeexplore.ieee.org/stampPDF/getPDF.jsp?arnumber=11112978
1,CLEAR: A Parser-Independent Disambiguation Framework for NL2SQL,icde,2025,https://ieeexplore.ieee.org/stampPDF/getPDF.jsp?arnumber=11113237
2,Towards Robust Trajectory Embedding for Similarity Computation: When Triangle Inequality Violations in Distance Metrics Matter,icde,2025,https://ieeexplore.ieee.org/stampPDF/getPDF.jsp?arnumber=11113231
3,Guiding Index Tuning Exploration with Potential Estimation,icde,2025,https://ieeexplore.ieee.org/stampPDF/getPDF.jsp?arnumber=11112869
4,LOVO: Efficient Complex Object Query in Large-Scale Video Datasets,icde,2025,https://ieeexplore.ieee.org/stampPDF/getPDF.jsp?arnumber=11112864
5,Birds of a Feather: Enhancing Multimodal Fake News Detection Via Multi-Element Retrieval,icde,2025,https://ieeexplore.ieee.org/stampPDF/getPDF.jsp?arnumber=11112868
6,DIFFODE: Neural ODE with Differentiable Hidden State for Irregular Time Series Analysis,icde,2025,https://ieeexplore.ieee.org/stampPDF/getPDF.jsp?arnumber=11113235
7,DELRec: Distilling Sequential Pattern to Enhance LLMs-Based Sequential Recommendation,icde,2025,https://ieeexplore.ieee.org/stampPDF/getPDF.jsp?arnumber=11113236
8,Description-Similarity Rules: Towards Flexible Feature Engineering for Entity Matching,icde,2025,https://ieeexplore.ieee.org/stampPDF/getPDF.jsp?arnumber=11112979
9,Explore the Disentanglement Mechanism for Deep Learning,icde,2025,https://ieeexplore.ieee.org/stampPDF/getPDF.jsp?arnumber=11112866
10,CloudyBench: A Testbed for A Comprehensive Evaluation of Cloud-Native Databases,icde,2025,https://ieeexplore.ieee.org/stampPDF/getPDF.jsp?arnumber=11112867
11,Space-Efficient Compact Representations for Graph Analytics,icde,2025,https://ieeexplore.ieee.org/stampPDF/getPDF.jsp?arnumber=11113234
12,OneRoundSTL: In-Database Seasonal-Trend Decomposition,icde,2025,https://ieeexplore.ieee.org/stampPDF/getPDF.jsp?arnumber=11112870
13,AEGK: Aligned Entropic Graph Kernels Through Continuous-Time Quantum Walks: (Extended Abstract),icde,2025,https://ieeexplore.ieee.org/stampPDF/getPDF.jsp?arnumber=11112865
14,Online Federated Learning on Distributed Unknown Data Using UAVs,icde,2025,https://ieeexplore.ieee.org/stampPDF/getPDF.jsp?arnumber=11112962
15,Grounding Natural Language to SQL Translation with Data-Based Self-Explanations,icde,2025,https://ieeexplore.ieee.org/stampPDF/getPDF.jsp?arnumber=11113103
16,AllHands :Ask Me Anything on Large-scale Verbatim Feedback via Large Language Models,icde,2025,https://ieeexplore.ieee.org/stampPDF/getPDF.jsp?arnumber=11112952
17,Learnable Sparse Customization in Heterogeneous Edge Computing,icde,2025,https://ieeexplore.ieee.org/stampPDF/getPDF.jsp?arnumber=11112971
18,Many Hands Make Light Work: Accelerating Edge Inference via Multi-Client Collaborative Caching,icde,2025,https://ieeexplore.ieee.org/stampPDF/getPDF.jsp?arnumber=11113197
19,ALT-Index: A Hybrid Learned Index for Concurrent Memory Database Systems,icde,2025,https://ieeexplore.ieee.org/stampPDF/getPDF.jsp?arnumber=11112964
20,Large-Scale Spatiotemporal Kernel Density Visualization,icde,2025,https://ieeexplore.ieee.org/stampPDF/getPDF.jsp?arnumber=11113195
21,HourglassSketch: An Efficient and Scalable Framework for Graph Stream Summarization,icde,2025,https://ieeexplore.ieee.org/stampPDF/getPDF.jsp?arnumber=11113206
22,CADRL: Category-Aware Dual-Agent Reinforcement Learning for Explainable Recommendations over Knowledge Graphs,icde,2025,https://ieeexplore.ieee.org/stampPDF/getPDF.jsp?arnumber=11113216
23,SOUND: Sanity Checking of Pipelines for Uncertain and Sparse Data Series,icde,2025,https://ieeexplore.ieee.org/stampPDF/getPDF.jsp?arnumber=11113002
