,title,conference,year,paper_url
0,SEED: Enhancing Text-to-SQL Performance and Practical Usability Through Automatic Evidence Generation,icde_workshops,2025,https://ieeexplore.ieee.org/stampPDF/getPDF.jsp?arnumber=11107466
1,Fine-Tuning Large Language Models for Entity Matching,icde_workshops,2025,https://ieeexplore.ieee.org/stampPDF/getPDF.jsp?arnumber=11107461
2,Orchestrating Agents and Data for Enterprise: A Blueprint Architecture for Compound AI,icde_workshops,2025,https://ieeexplore.ieee.org/stampPDF/getPDF.jsp?arnumber=11108141
3,Data Cleaning Using Large Language Models,icde_workshops,2025,https://ieeexplore.ieee.org/stampPDF/getPDF.jsp?arnumber=11107465
4,SLPerf: A Research Library and Benchmark Framework for Split Learning,icde_workshops,2025,https://ieeexplore.ieee.org/stampPDF/getPDF.jsp?arnumber=11108142
5,Agentic Workflows for Extraction of Access Control Matrices from Policy Documents,icde_workshops,2025,https://ieeexplore.ieee.org/stampPDF/getPDF.jsp?arnumber=11107460
6,Towards Regaining Control Over Messy Machine Learning Pipelines,icde_workshops,2025,https://ieeexplore.ieee.org/stampPDF/getPDF.jsp?arnumber=11108164
7,All About Digitraffic: Understanding Nationwide Open Road Data in Finland,icde_workshops,2025,https://ieeexplore.ieee.org/stampPDF/getPDF.jsp?arnumber=11108146
8,Object Detection in Real-World Smart City Applications: A Case of Truck Detection in California Highways,icde_workshops,2025,https://ieeexplore.ieee.org/stampPDF/getPDF.jsp?arnumber=11108144
9,Developing a Smart Electric Vehicle Strategy: From Data to Decisions,icde_workshops,2025,https://ieeexplore.ieee.org/stampPDF/getPDF.jsp?arnumber=11108135
10,A Predictive Parking Mobile Application Integrating Historical Usage and Precipitation Data,icde_workshops,2025,https://ieeexplore.ieee.org/stampPDF/getPDF.jsp?arnumber=11108143
11,An Experimental Study of GPU-Based Graph ANN Search Algorithms,icde_workshops,2025,https://ieeexplore.ieee.org/stampPDF/getPDF.jsp?arnumber=11108154
12,On-chip Acceleration for Log-Structured GDBMS,icde_workshops,2025,https://ieeexplore.ieee.org/stampPDF/getPDF.jsp?arnumber=11108140
13,LLM + Vector Data: Coupling of Large Language Models with Vector Data Management for Enhancing Data Science,icde_workshops,2025,https://ieeexplore.ieee.org/stampPDF/getPDF.jsp?arnumber=11108132
