,title,conference,year,paper_url
0,DarkBench: Benchmarking Dark Patterns in Large Language Models,icml,2025,https://openreview.net/pdf?id=odjMSBSWRt
1,RM-Bench: Benchmarking Reward Models of Language Models with Subtlety and Style,icml,2025,https://openreview.net/pdf?id=QEHrmQPBdd
2,TopoLM: brain-like spatio-functional organization in a topographic language model,icml,2025,https://openreview.net/pdf?id=aWXnKanInf
3,Spider 2.0: Evaluating Language Models on Real-World Enterprise Text-to-SQL Workflows,icml,2025,https://openreview.net/pdf?id=XmProj9cPs
4,Knowledge Entropy Decay during Language Model Pretraining Hinders New Knowledge Acquisition,icml,2025,https://openreview.net/pdf?id=eHehzSDUFp
5,Diffusion-Based Planning for Autonomous Driving with Flexible Guidance,icml,2025,https://openreview.net/pdf?id=wM2sfVgMDH
6,Learning to Search from Demonstration Sequences,icml,2025,https://openreview.net/pdf?id=v593OaNePQ
7,Measuring and Enhancing Trustworthiness of LLMs in RAG through Grounded Attributions and Learning to Refuse,icml,2025,https://openreview.net/pdf?id=Iyrtb9EJBp
8,MAP: Multi-Human-Value Alignment Palette,icml,2025,https://openreview.net/pdf?id=NN6QHwgRrQ
9,Can Neural Networks Achieve Optimal Computational-statistical Tradeoff? An Analysis on Single-Index Model,icml,2025,https://openreview.net/pdf?id=is4nCVkSFA
10,Consistency Checks for Language Model Forecasters,icml,2025,https://openreview.net/pdf?id=r5IXBlTCGc
11,Spread Preference Annotation: Direct Preference Judgment for Efficient LLM Alignment,icml,2025,https://openreview.net/pdf?id=BPgK5XW1Nb
12,Brain Bandit: A Biologically Grounded Neural Network for Efficient Control of Exploration,icml,2025,https://openreview.net/pdf?id=RWJX5F5I9g
13,MaestroMotif: Skill Design from Artificial Intelligence Feedback,icml,2025,https://openreview.net/pdf?id=or8mMhmyRV
14,Learning to Discover Regulatory Elements for Gene Expression Prediction,icml,2025,https://openreview.net/pdf?id=Mfnh1Sqdwf
15,Block Diffusion: Interpolating Between Autoregressive and Diffusion Language Models,icml,2025,https://openreview.net/pdf?id=tyEyYT267x
16,Syntactic and Semantic Control of Large Language Models via Sequential Monte Carlo,icml,2025,https://openreview.net/pdf?id=xoXn62FzD0
17,Scaling Laws for Precision,icml,2025,https://openreview.net/pdf?id=wg1PCg3CUP
18,Context-Parametric Inversion: Why Instruction Finetuning May Not Actually Improve Context Reliance,icml,2025,https://openreview.net/pdf?id=SPS6HzVzyt
19,Inference Scaling for Long-Context Retrieval Augmented Generation,icml,2025,https://openreview.net/pdf?id=FSjIrOm1vz
20,Scaling LLM Test-Time Compute Optimally Can be More Effective than Scaling Parameters for Reasoning,icml,2025,https://openreview.net/pdf?id=4FWAwZtd2n
21,Capturing the Temporal Dependence of Training Data Influence,icml,2025,https://openreview.net/pdf?id=uHLgDEgiS5
22,Self-Improvement in Language Models: The Sharpening Mechanism,icml,2025,https://openreview.net/pdf?id=WJaUkwci9o
23,Data Shapley in One Training Run,icml,2025,https://openreview.net/pdf?id=HD6bWcj87Y
24,Computationally Efficient RL under Linear Bellman Completeness for Deterministic Dynamics,icml,2025,https://openreview.net/pdf?id=hyfe5q5TD0
25,Linear Representations of Political Perspective Emerge in Large Language Models,icml,2025,https://openreview.net/pdf?id=rwqShzb9li
26,Turning Up the Heat: Min-p Sampling for Creative and Coherent LLM Outputs,icml,2025,https://openreview.net/pdf?id=FBkpCyujtS
27,Joint Graph Rewiring and Feature Denoising via Spectral Resonance,icml,2025,https://openreview.net/pdf?id=zBbZ2vdLzH
28,Iterative Nash Policy Optimization: Aligning LLMs with General Preferences via No-Regret Learning,icml,2025,https://openreview.net/pdf?id=Pujt3ADZgI
29,Progressive Compression with Universally Quantized Diffusion Models,icml,2025,https://openreview.net/pdf?id=CxXGvKRDnL
30,Accelerated training through iterative gradient propagation along the residual path,icml,2025,https://openreview.net/pdf?id=JDm7oIcx4Y
31,Tight Lower Bounds under Asymmetric High-Order Hölder Smoothness and Uniform Convexity,icml,2025,https://openreview.net/pdf?id=fMTPkDEhLQ
