,title,conference,year,paper_url
0,Implicit Regularization for Tubal Tensor Factorizations via Gradient Descent,icml,2025,https://openreview.net/pdf?id=2GmXJnyNM4
1,Algorithm Development in Neural Networks: Insights from the Streaming Parity Task,icml,2025,https://openreview.net/pdf?id=3go0lhfxd0
2,Orthogonal Subspace Decomposition for Generalizable AI-Generated Image Detection,icml,2025,https://openreview.net/pdf?id=GFpjO8S8Po
3,Accelerating LLM Inference with Lossless Speculative Decoding Algorithms for Heterogeneous Vocabularies,icml,2025,https://openreview.net/pdf?id=vQubr1uBUw
4,LLM-SRBench: A New Benchmark for Scientific Equation Discovery with Large Language Models,icml,2025,https://openreview.net/pdf?id=SyQPiZJVWY
5,ConceptAttention: Diffusion Transformers Learn Highly Interpretable Features,icml,2025,https://openreview.net/pdf?id=Rc7y9HFC34
6,Emergence in non-neural models: grokking modular arithmetic via average gradient outer product,icml,2025,https://openreview.net/pdf?id=36hVB7DEB0
7,Hierarchical Refinement: Optimal Transport to Infinity and Beyond,icml,2025,https://openreview.net/pdf?id=EBNgREMoVD
8,"Train for the Worst, Plan for the Best: Understanding Token Ordering in Masked Diffusions",icml,2025,https://openreview.net/pdf?id=DjJmre5IkP
9,Statistical Test for Feature Selection Pipelines by Selective Inference,icml,2025,https://openreview.net/pdf?id=4EYwwVuhtG
10,All-Purpose Mean Estimation over R: Optimal Sub-Gaussianity with Outlier Robustness and Low Moments Performance,icml,2025,https://openreview.net/pdf?id=qR7YsQdFxV
11,SWE-Lancer: Can Frontier LLMs Earn $1 Million from Real-World Freelance Software Engineering,icml,2025,https://openreview.net/pdf?id=xZXhFg43EI
12,Training a Generally Curious Agent,icml,2025,https://openreview.net/pdf?id=UeB3Hdrhda
13,High-Dimensional Prediction for Sequential Decision Making,icml,2025,https://openreview.net/pdf?id=uRAgIVnAO6
14,EmbodiedBench: Comprehensive Benchmarking Multi-modal Large Language Models for Vision-Driven Embodied Agents,icml,2025,https://openreview.net/pdf?id=DgGF2LEBPS
15,Auditing $f$-differential privacy in one run,icml,2025,https://openreview.net/pdf?id=OZSXYeqpI1
16,Learning with Expected Signatures: Theory and Applications,icml,2025,https://openreview.net/pdf?id=yDTwamN4LQ
17,Statistical Query Hardness of Multiclass Linear Classification with Random Classification Noise,icml,2025,https://openreview.net/pdf?id=EZV4edMGM1
18,Expected Variational Inequalities,icml,2025,https://openreview.net/pdf?id=LCbHsdtvOR
19,Improving the Scaling Laws of Synthetic Data with Deliberate Practice,icml,2025,https://openreview.net/pdf?id=0LZRtvK871
20,Scaling Collapse Reveals Universal Dynamics in Compute-Optimally Trained Neural Networks,icml,2025,https://openreview.net/pdf?id=Fvq9ogLnLN
21,Cross-environment Cooperation Enables Zero-shot Multi-agent Coordination,icml,2025,https://openreview.net/pdf?id=zBBYsVGKuB
22,Layer by Layer: Uncovering Hidden Representations in Language Models,icml,2025,https://openreview.net/pdf?id=WGXb7UdvTX
23,The dark side of the forces: assessing non-conservative force models for atomistic machine learning,icml,2025,https://openreview.net/pdf?id=OEl3L8osas
24,AdaSplash: Adaptive Sparse Flash Attention,icml,2025,https://openreview.net/pdf?id=OWIPDWhUcO
25,Temporal Difference Flows,icml,2025,https://openreview.net/pdf?id=j6H7c3aQyb
26,Score Matching with Missing Data,icml,2025,https://openreview.net/pdf?id=mBstuGUaXo
27,Roll the dice & look before you leap: Going beyond the creative limits of next-token prediction,icml,2025,https://openreview.net/pdf?id=Hi0SyHMmkd
28,How Do Large Language Monkeys Get Their Power (Laws),icml,2025,https://openreview.net/pdf?id=QqVZ28qems
29,Addressing Misspecification in Simulation-based Inference through Data-driven Calibration,icml,2025,https://openreview.net/pdf?id=y3d4Bs2r7r
30,A Unified Framework for Entropy Search and Expected Improvement in Bayesian Optimization,icml,2025,https://openreview.net/pdf?id=LbJQYNSH41
31,Conformal Prediction as Bayesian Quadrature,icml,2025,https://openreview.net/pdf?id=PNmkjIzHB7
32,Learning Time-Varying Multi-Region Brain Communications via Scalable Markovian Gaussian Processes,icml,2025,https://openreview.net/pdf?id=pOAEfqa26i
33,Fully Dynamic Euclidean Bi-Chromatic Matching in Sublinear Update Time,icml,2025,https://openreview.net/pdf?id=up21Rwj5Fo
34,The Value of Prediction in Identifying the Worst-Off,icml,2025,https://openreview.net/pdf?id=26JsumCG0z
35,Learning dynamics in linear recurrent neural networks,icml,2025,https://openreview.net/pdf?id=KGOcrIWYnx
36,"AffectGPT: A New Dataset, Model, and Benchmark for Emotion Understanding with Multimodal Large Language Models",icml,2025,https://openreview.net/pdf?id=xmbdACI0xu
37,DeFoG: Discrete Flow Matching for Graph Generation,icml,2025,https://openreview.net/pdf?id=KPRIwWhqAZ
38,One-Step Generalization Ratio Guided Optimization for Domain Generalization,icml,2025,https://openreview.net/pdf?id=Tv2JDGw920
39,CodeIO: Condensing Reasoning Patterns via Code Input-Output Prediction,icml,2025,https://openreview.net/pdf?id=feIaF6vYFl
40,In-Context Denoising with One-Layer Transformers: Connections between Attention and Associative Memory Retrieval,icml,2025,https://openreview.net/pdf?id=F08lzoBgad
41,Foundation Model Insights and a Multi-Model Approach for Superior Fine-Grained One-shot Subset Selection,icml,2025,https://openreview.net/pdf?id=ZdqTePSV1K
42,Beyond Matryoshka: Revisiting Sparse Coding for Adaptive Representation,icml,2025,https://openreview.net/pdf?id=z19u9B2fCZ
43,"Prices, Bids, Values: One ML-Powered Combinatorial Auction to Rule Them All",icml,2025,https://openreview.net/pdf?id=4ViG4gQD3i
44,Generative Social Choice: The Next Generation,icml,2025,https://openreview.net/pdf?id=E1E6T7KHlR
45,ITBench: Evaluating AI Agents across Diverse Real-World IT Automation Tasks,icml,2025,https://openreview.net/pdf?id=jP59rz1bZk
46,Theoretical Limitations of Ensembles in the Age of Overparameterization,icml,2025,https://openreview.net/pdf?id=Cf0N07E1vu
47,An analytic theory of creativity in convolutional diffusion models,icml,2025,https://openreview.net/pdf?id=ilpL2qACla
48,MGD3 : Mode-Guided Dataset Distillation using Diffusion Models,icml,2025,https://openreview.net/pdf?id=NIe74CY9lk
49,Near-Optimal Decision Trees in a SPLIT Second,icml,2025,https://openreview.net/pdf?id=ACyyBrUioy
50,Controlling Underestimation Bias in Constrained Reinforcement Learning for Safe Exploration,icml,2025,https://openreview.net/pdf?id=nq5bt0mRTC
51,Nonlinearly Preconditioned Gradient Methods under Generalized Smoothness,icml,2025,https://openreview.net/pdf?id=kV8oUyjdIg
52,Outlier Gradient Analysis: Efficiently Identifying Detrimental Training Samples for Deep Learning Models,icml,2025,https://openreview.net/pdf?id=v77ZMzbsBA
53,Learning Smooth and Expressive Interatomic Potentials for Physical Property Prediction,icml,2025,https://openreview.net/pdf?id=R0PBjxIbgm
54,AutoAdvExBench: Benchmarking Autonomous Exploitation of Adversarial Example Defenses,icml,2025,https://openreview.net/pdf?id=FJKnru1xUF
55,Sanity Checking Causal Representation Learning on a Simple Real-World System,icml,2025,https://openreview.net/pdf?id=d2aGLPSpFz
56,Transformative or Conservative? Conservation laws for ResNets and Transformers,icml,2025,https://openreview.net/pdf?id=aTBwCSkPxv
57,A Generalization Result for Convergence in Learning-to-Optimize,icml,2025,https://openreview.net/pdf?id=PqDvTWdQwm
58,rStar-Math: Small LLMs Can Master Math Reasoning with Self-Evolved Deep Thinking,icml,2025,https://openreview.net/pdf?id=5zwF1GizFa
59,An Improved Clique-Picking Algorithm for Counting Markov Equivalent DAGs via Super Cliques Transfer,icml,2025,https://openreview.net/pdf?id=mr0xOQTJkL
60,Statistical Collusion by Collectives on Learning Platforms,icml,2025,https://openreview.net/pdf?id=46yLEXtav4
61,Neural Discovery in Mathematics: Do Machines Dream of Colored Planes,icml,2025,https://openreview.net/pdf?id=7Tp9zjP9At
62,Strategy Coopetition Explains the Emergence and Transience of In-Context Learning,icml,2025,https://openreview.net/pdf?id=esBoQFmD7v
63,ABKD: Pursuing a Proper Allocation of the Probability Mass in Knowledge Distillation via α-β-Divergence,icml,2025,https://openreview.net/pdf?id=vt65VjJakt
64,DistiLLM-2: A Contrastive Approach Boosts the Distillation of LLMs,icml,2025,https://openreview.net/pdf?id=rc65N9xIrY
65,SK-VQA: Synthetic Knowledge Generation at Scale for Training Context-Augmented Multimodal LLMs,icml,2025,https://openreview.net/pdf?id=EVwMw2lVlw
66,Learning Dynamics in Continual Pre-Training for Large Language Models,icml,2025,https://openreview.net/pdf?id=Vk1rNMl0J1
67,LoRA Training Provably Converges to a Low-Rank Global Minimum Or It Fails Loudly (But it Probably Won't Fail),icml,2025,https://openreview.net/pdf?id=o9zDYV4Ism
68,An Online Adaptive Sampling Algorithm for Stochastic Difference-of-convex Optimization with Time-varying Distributions,icml,2025,https://openreview.net/pdf?id=QmIzUuspWo
69,General framework for online-to-nonconvex conversion: Schedule-free SGD is also effective for nonconvex optimization,icml,2025,https://openreview.net/pdf?id=etxseIT47b
70,Emergent Misalignment: Narrow finetuning can produce broadly misaligned LLMs,icml,2025,https://openreview.net/pdf?id=aOIJ2gVRWW
71,Beyond Self-Repellent Kernels: History-Driven Target Towards Efficient Nonlinear MCMC on General Graphs,icml,2025,https://openreview.net/pdf?id=0yzOEMbShU
72,Long-Form Speech Generation with Spoken Language Models,icml,2025,https://openreview.net/pdf?id=4AmFA0qNQ2
73,A Generalization Theory for Zero-Shot Prediction,icml,2025,https://openreview.net/pdf?id=kJQgMGLrow
74,Machine Learning meets Algebraic Combinatorics: A Suite of Datasets Capturing Research-level Conjecturing Ability in Pure Mathematics,icml,2025,https://openreview.net/pdf?id=tlniJJFUW2
75,Going Deeper into Locally Differentially Private Graph Neural Networks,icml,2025,https://openreview.net/pdf?id=2aKHuXdr7Q
76,Polynomial-Delay MAG Listing with Novel Locally Complete Orientation Rules,icml,2025,https://openreview.net/pdf?id=70voOlSPos
77,VideoRoPE: What Makes for Good Video Rotary Position Embedding,icml,2025,https://openreview.net/pdf?id=tO7OVZkCo1
78,Inductive Moment Matching,icml,2025,https://openreview.net/pdf?id=pwNSUo7yUb
79,Network Sparsity Unlocks the Scaling Potential of Deep Reinforcement Learning,icml,2025,https://openreview.net/pdf?id=mIomqOskaa
80,"LoRA-One: One-Step Full Gradient Could Suffice for Fine-Tuning Large Language Models, Provably and Efficiently",icml,2025,https://openreview.net/pdf?id=KwIlvmLDLm
81,Equivalence is All: A Unified View for Self-supervised Graph Learning,icml,2025,https://openreview.net/pdf?id=ZAlII9wL5i
82,On Path to Multimodal Generalist: General-Level and General-Bench,icml,2025,https://openreview.net/pdf?id=VsJ1K2HV3k
83,Sundial: A Family of Highly Capable Time Series Foundation Models,icml,2025,https://openreview.net/pdf?id=LO7ciRpjI5
84,Rényi Neural Processes,icml,2025,https://openreview.net/pdf?id=qMt4KikFJg
85,Model Immunization from a Condition Number Perspective,icml,2025,https://openreview.net/pdf?id=uitj69FqD5
86,Flowing Datasets with Wasserstein over Wasserstein Gradient Flows,icml,2025,https://openreview.net/pdf?id=I1OHPb4zWo
87,Retrieval-Augmented Perception: High-resolution Image Perception Meets Visual RAG,icml,2025,https://openreview.net/pdf?id=X9vBykZVYg
88,Navigating Semantic Drift in Task-Agnostic Class-Incremental Learning,icml,2025,https://openreview.net/pdf?id=M6L7Eaw9BW
89,Can MLLMs Reason in Multimodality? EMMA: An Enhanced MultiModal ReAsoning Benchmark,icml,2025,https://openreview.net/pdf?id=v26vwjxOEz
90,"Improved Regret Analysis in Gaussian Process Bandits: Optimality for Noiseless Reward, RKHS norm, and Non-Stationary Variance",icml,2025,https://openreview.net/pdf?id=ybno0ZP44z
91,CollabLLM: From Passive Responders to Active Collaborators,icml,2025,https://openreview.net/pdf?id=DmH4HHVb3y
92,Suitability Filter: A Statistical Framework for Classifier Evaluation in Real-World Deployment Settings,icml,2025,https://openreview.net/pdf?id=V0w8Kj3K6L
93,"Partition First, Embed Later: Laplacian-Based Feature Partitioning for Refined Embedding and Visualization of High-Dimensional Data",icml,2025,https://openreview.net/pdf?id=6CwO5nVvku
94,Blink of an eye: a simple theory for feature localization in generative models,icml,2025,https://openreview.net/pdf?id=QvqnPVGWAN
95,On Differential Privacy for Adaptively Solving Search Problems via Sketching,icml,2025,https://openreview.net/pdf?id=kEn7Wt6Yj2
96,Exploring and Mitigating Adversarial Manipulation of Voting-Based Leaderboards,icml,2025,https://openreview.net/pdf?id=zf9zwCRKyP
97,What Limits Virtual Agent Application? OmniBench: A Scalable Multi-Dimensional Benchmark for Essential Virtual Agent Capabilities,icml,2025,https://openreview.net/pdf?id=4tFSKOY2mT
98,Fundamental Bias in Inverting Random Sampling Matrices with Application to Sub-sampled Newton,icml,2025,https://openreview.net/pdf?id=LwQGRGJTHw
99,Normalizing Flows are Capable Generative Models,icml,2025,https://openreview.net/pdf?id=2uheUFcFsM
100,Multi-agent Architecture Search via Agentic Supernet,icml,2025,https://openreview.net/pdf?id=imcyVlzpXh
101,VideoJAM: Joint Appearance-Motion Representations for Enhanced Motion Generation in Video Models,icml,2025,https://openreview.net/pdf?id=yMJcHWcb2Z
102,ReferSplat: Referring Segmentation in 3D Gaussian Splatting,icml,2025,https://openreview.net/pdf?id=reuShgiHdg
103,STAIR: Improving Safety Alignment with Introspective Reasoning,icml,2025,https://openreview.net/pdf?id=aHzPGyUhZa
104,From Weight-Based to State-Based Fine-Tuning: Further Memory Reduction on LoRA with Parallel Control,icml,2025,https://openreview.net/pdf?id=x4qvBVuzzu
105,Mixture of Lookup Experts,icml,2025,https://openreview.net/pdf?id=wUEp13rqXP
106,AutoGFM: Automated Graph Foundation Model with Adaptive Architecture Customization,icml,2025,https://openreview.net/pdf?id=fCPB0qRJT2
107,VersaPRM: Multi-Domain Process Reward Model via Synthetic Reasoning Data,icml,2025,https://openreview.net/pdf?id=l19DmXbwPK
108,Towards Practical Defect-Focused Automated Code Review,icml,2025,https://openreview.net/pdf?id=mEV0nvHcK3
109,BaxBench: Can LLMs Generate Correct and Secure Backends,icml,2025,https://openreview.net/pdf?id=il3KRr4H9u
110,Hide & Seek: Transformer Symmetries Obscure Sharpness & Riemannian Geometry Finds It,icml,2025,https://openreview.net/pdf?id=5QAKPBVdFH
111,Scaling Laws for Task-Optimized Models of the Primate Visual Ventral Stream,icml,2025,https://openreview.net/pdf?id=WxY61MmHYo
112,Understanding and Mitigating Memorization in Generative Models via Sharpness of Probability Landscapes,icml,2025,https://openreview.net/pdf?id=EW2JR5aVLm
113,Monte-Carlo Tree Search with Uncertainty Propagation via Optimal Transport,icml,2025,https://openreview.net/pdf?id=DUGFTH9W8B
114,TIMING: Temporality-Aware Integrated Gradients for Time Series Explanation,icml,2025,https://openreview.net/pdf?id=qOgKMqv9T7
115,Multi-Turn Code Generation Through Single-Step Rewards,icml,2025,https://openreview.net/pdf?id=aJeLhLcsh0
116,Raptor: Scalable Train-Free Embeddings for 3D Medical Volumes Leveraging Pretrained 2D Foundation Models,icml,2025,https://openreview.net/pdf?id=4yHWV3B6g4
117,The Role of Randomness in Stability,icml,2025,https://openreview.net/pdf?id=W2Fe1hT7Ks
118,Stochastic Smoothed Primal-Dual Algorithms for Nonconvex Optimization with Linear Inequality Constraints,icml,2025,https://openreview.net/pdf?id=a6Cagkpmgz
119,Masked Autoencoders Are Effective Tokenizers for Diffusion Models,icml,2025,https://openreview.net/pdf?id=dzwUOiBlQW
120,Mitigating Object Hallucination in Large Vision-Language Models via Image-Grounded Guidance,icml,2025,https://openreview.net/pdf?id=w0xYx9CJhY
