,title,conference,year,paper_url
0,Deploying Ten Thousand Robots: Scalable Imitation Learning for Lifelong Multi-Agent Path Finding,icra,2025,https://ieeexplore.ieee.org/stampPDF/getPDF.jsp?arnumber=11127445
1,Computationally and Sample Efficient Safe Reinforcement Learning Using Adaptive Conformal Prediction,icra,2025,https://ieeexplore.ieee.org/stampPDF/getPDF.jsp?arnumber=11127570
2,A Magnetic-Actuated Vision-Based Whisker Array for Contact Perception and Grasping,icra,2025,https://ieeexplore.ieee.org/stampPDF/getPDF.jsp?arnumber=11128051
3,SIGMA: Sheaf-Informed Geometric Multi-Agent Pathfinding,icra,2025,https://ieeexplore.ieee.org/stampPDF/getPDF.jsp?arnumber=11127434
4,Open-RGBT: Open-Vocabulary RGB-T Zero-Shot Semantic Segmentation in Open-World Environments,icra,2025,https://ieeexplore.ieee.org/stampPDF/getPDF.jsp?arnumber=11127432
5,TDFANet: Encoding Sequential 4D Radar Point Clouds Using Trajectory-Guided Deformable Feature Aggregation for Place Recognition,icra,2025,https://ieeexplore.ieee.org/stampPDF/getPDF.jsp?arnumber=11127648
6,Learning-Based Adaptive Navigation for Scalar Field Mapping and Feature Tracking,icra,2025,https://ieeexplore.ieee.org/stampPDF/getPDF.jsp?arnumber=11127650
7,DeepVL: Dynamics and Inertial Measurements-based Deep Velocity Learning for Underwater Odometry,icra,2025,https://ieeexplore.ieee.org/stampPDF/getPDF.jsp?arnumber=11128041
8,Detecting Perception-Based Attacks using Visual Odometry: Inconsistency Modeling and Checking on Robotic States,icra,2025,https://ieeexplore.ieee.org/stampPDF/getPDF.jsp?arnumber=11127598
9,KARMA: Augmenting Embodied AI Agents with Long-and-Short Term Memory Systems,icra,2025,https://ieeexplore.ieee.org/stampPDF/getPDF.jsp?arnumber=11128047
10,MJPR: Multi-Modal Joint Predictive Representation in Deep Reinforcement Learning,icra,2025,https://ieeexplore.ieee.org/stampPDF/getPDF.jsp?arnumber=11128137
11,Real-World Automated Vehicle Longitudinal Stability Analysis: Controller Design and Field Test,icra,2025,https://ieeexplore.ieee.org/stampPDF/getPDF.jsp?arnumber=11127447
12,MFSeg: Efficient Multi-Frame 3D Semantic Segmentation,icra,2025,https://ieeexplore.ieee.org/stampPDF/getPDF.jsp?arnumber=11127629
13,Verifiably Following Complex Robot Instructions with Foundation Models,icra,2025,https://ieeexplore.ieee.org/stampPDF/getPDF.jsp?arnumber=11127418
14,Tracking Everything in Robotic-Assisted Surgery,icra,2025,https://ieeexplore.ieee.org/stampPDF/getPDF.jsp?arnumber=11128141
15,A Neural Network-Based Framework for Fast and Smooth Posture Reconstruction of a Soft Continuum Arm,icra,2025,https://ieeexplore.ieee.org/stampPDF/getPDF.jsp?arnumber=11128142
16,Optimize and Coordinate Multiple DMPs Under Constraints to Achieve a Collaborative Manipulation Task,icra,2025,https://ieeexplore.ieee.org/stampPDF/getPDF.jsp?arnumber=11127511
17,Air-FAR: Fast and Adaptable Routing for Aerial Navigation in Large-Scale Complex Unknown Environments,icra,2025,https://ieeexplore.ieee.org/stampPDF/getPDF.jsp?arnumber=11127430
18,A Quantum Annealing Approach to Target Tracking,icra,2025,https://ieeexplore.ieee.org/stampPDF/getPDF.jsp?arnumber=11128357
19,Kineto-Dynamical Planning and Accurate Execution of Minimum-Time Maneuvers on Three-Dimensional Circuits,icra,2025,https://ieeexplore.ieee.org/stampPDF/getPDF.jsp?arnumber=11127446
20,TS-DETR: Traffic Sign Detection Based on Positive and Negative Sample Augmentation,icra,2025,https://ieeexplore.ieee.org/stampPDF/getPDF.jsp?arnumber=11127628
21,Towards Transparent Multi-Agent Autonomous Systems Through Principled Multi-Source Knowledge Distillation,icra,2025,https://ieeexplore.ieee.org/stampPDF/getPDF.jsp?arnumber=11127443
22,ZeroCAP: Zero-Shot Multi-Robot Context Aware Pattern Formation via Large Language Models,icra,2025,https://ieeexplore.ieee.org/stampPDF/getPDF.jsp?arnumber=11127452
23,DVM-SLAM: Decentralized Visual Monocular Simultaneous Localization and Mapping for Multi-Agent Systems,icra,2025,https://ieeexplore.ieee.org/stampPDF/getPDF.jsp?arnumber=11127510
24,Qdgset: a Large Scale Grasping Dataset Generated With Quality-Diversity,icra,2025,https://ieeexplore.ieee.org/stampPDF/getPDF.jsp?arnumber=11127427
25,QuickGrasp: Lightweight Antipodal Grasp Planning with Point Clouds,icra,2025,https://ieeexplore.ieee.org/stampPDF/getPDF.jsp?arnumber=11128143
26,Stonefish: Supporting Machine Learning Research in Marine Robotics,icra,2025,https://ieeexplore.ieee.org/stampPDF/getPDF.jsp?arnumber=11127421
27,BODex: Scalable and Efficient Robotic Dexterous Grasp Synthesis Using Bilevel Optimization,icra,2025,https://ieeexplore.ieee.org/stampPDF/getPDF.jsp?arnumber=11127930
28,Dark-DENet: A Lightweight Enhancement Network for Low-Light Object Detection,icra,2025,https://ieeexplore.ieee.org/stampPDF/getPDF.jsp?arnumber=11127459
29,HGSLoc: 3DGS-Based Heuristic Camera Pose Refinement,icra,2025,https://ieeexplore.ieee.org/stampPDF/getPDF.jsp?arnumber=11127431
30,Ergodic Trajectory Optimization on Generalized Domains Using Maximum Mean Discrepancy,icra,2025,https://ieeexplore.ieee.org/stampPDF/getPDF.jsp?arnumber=11127573
31,OCCUQ: Exploring Efficient Uncertainty Quantification for 3D Occupancy Prediction,icra,2025,https://ieeexplore.ieee.org/stampPDF/getPDF.jsp?arnumber=11128049
32,UAV-Assisted Self-Supervised Terrain Awareness for Off-Road Navigation,icra,2025,https://ieeexplore.ieee.org/stampPDF/getPDF.jsp?arnumber=11128050
33,Vision Transformers for End-to-End Vision-Based Quadrotor Obstacle Avoidance,icra,2025,https://ieeexplore.ieee.org/stampPDF/getPDF.jsp?arnumber=11128042
34,Interactive OT Gym: A Reinforcement Learning-Based Interactive Optical Tweezer (OT)-Driven Microrobotics Simulation Platform,icra,2025,https://ieeexplore.ieee.org/stampPDF/getPDF.jsp?arnumber=11127419
35,Simplifying Reward Design in Complex Robotics: Average-Reward Maximum Entropy Reinforcement Learning,icra,2025,https://ieeexplore.ieee.org/stampPDF/getPDF.jsp?arnumber=11128043
36,Narrow Passage Path Planning Using Collision Constraint Interpolation,icra,2025,https://ieeexplore.ieee.org/stampPDF/getPDF.jsp?arnumber=11127444
