,title,conference,year,paper_url
0,Synthesising Minimum Cost Dynamic Norms,ijcai,2025,https://www.ijcai.org/proceedings/2025/0001.pdf
1,AriGraph: Learning Knowledge Graph World Models with Episodic Memory for LLM Agents,ijcai,2025,https://www.ijcai.org/proceedings/2025/0002.pdf
2,Coalition Obstruction Temporal Logic: A New Obstruction Logic to Reason About Demon Coalitions,ijcai,2025,https://www.ijcai.org/proceedings/2025/0003.pdf
3,Optimal Distributed Training With Co-Adaptive Data Parallelism in Heterogeneous Environments,ijcai,2025,https://www.ijcai.org/proceedings/2025/0004.pdf
4,Requirement Patterns for Engineering Multiagent Interaction Protocols,ijcai,2025,https://www.ijcai.org/proceedings/2025/0005.pdf
5,Responsibility Anticipation and Attribution in LTLf,ijcai,2025,https://www.ijcai.org/proceedings/2025/0006.pdf
6,EF1 and EFX Orientations,ijcai,2025,https://www.ijcai.org/proceedings/2025/0007.pdf
7,Multi-Agent Communication with Information Preserving Graph Contrastive Learning,ijcai,2025,https://www.ijcai.org/proceedings/2025/0008.pdf
8,Co-Learning of Strategy and Structure Achieves Full Cooperation in Complex Networks with Dynamical Linking,ijcai,2025,https://www.ijcai.org/proceedings/2025/0009.pdf
9,Argument-based Multi-Issue Negotiation,ijcai,2025,https://www.ijcai.org/proceedings/2025/0010.pdf
10,SocialMP: Learning Social Aware Motion Patterns via Additive Fusion for Pedestrian Trajectory Prediction,ijcai,2025,https://www.ijcai.org/proceedings/2025/0011.pdf
11,L2M2: A Hierarchical Framework Integrating Large Language Model and Multi-agent Reinforcement Learning,ijcai,2025,https://www.ijcai.org/proceedings/2025/0012.pdf
12,Resistance is Futile: Gradually Declining Immunity Retains the Exponential Duration of Immunity-Free Diffusion,ijcai,2025,https://www.ijcai.org/proceedings/2025/0013.pdf
13,MIRROR: Multi-agent Intra- and Inter-Reflection for Optimized Reasoning in Tool Learning,ijcai,2025,https://www.ijcai.org/proceedings/2025/0014.pdf
14,"Strategies, Credences, and Shannon Entropy: Reasoning about Strategic Uncertainty in Stochastic Environments",ijcai,2025,https://www.ijcai.org/proceedings/2025/0015.pdf
15,Steady-State Strategy Synthesis for Swarms of Autonomous Agents,ijcai,2025,https://www.ijcai.org/proceedings/2025/0016.pdf
16,Approximate Verification of Strategic Abilities under Imperfect Information Using Local Models,ijcai,2025,https://www.ijcai.org/proceedings/2025/0017.pdf
17,RoLocMe: A Robust Multi-agent Source Localization System with Learning-based Map Estimation,ijcai,2025,https://www.ijcai.org/proceedings/2025/0018.pdf
18,Combining Deep Reinforcement Learning and Search with Generative Models for Game-Theoretic Opponent Modeling,ijcai,2025,https://www.ijcai.org/proceedings/2025/0019.pdf
19,Asynchronous Credit Assignment for Multi-Agent Reinforcement Learning,ijcai,2025,https://www.ijcai.org/proceedings/2025/0020.pdf
20,Online Resource Sharing: Better Robust Guarantees via Randomized Strategies,ijcai,2025,https://www.ijcai.org/proceedings/2025/0021.pdf
21,Odyssey : Empowering Minecraft Agents with Open-World Skills,ijcai,2025,https://www.ijcai.org/proceedings/2025/0022.pdf
22,Deep Learning-Based Pedestrian Simulation with Limited Real-World Training Data: An Evaluation Framework,ijcai,2025,https://www.ijcai.org/proceedings/2025/0023.pdf
