,title,conference,year,paper_url
0,The Surprising Victory of NLP: From Philosophy to Agentic Language Models,kdd,2025,https://dl.acm.org/doi/pdf/10.1145/3711896.3736801
1,"On Reasoning LLMs: Myths, Merits, and How to Move Forward",kdd,2025,https://dl.acm.org/doi/pdf/10.1145/3711896.3736800
2,Causality - Exploiting Multi-Modal Data,kdd,2025,https://dl.acm.org/doi/pdf/10.1145/3711896.3736799
3,K-Paths: Reasoning over Graph Paths for Drug Repurposing and Drug Interaction Prediction,kdd,2025,https://dl.acm.org/doi/pdf/10.1145/3711896.3737011
4,Fair Diversity Maximization with Few Representatives,kdd,2025,https://dl.acm.org/doi/pdf/10.1145/3711896.3736950
5,Separating Graph Generative Models via Degree Distributions,kdd,2025,https://dl.acm.org/doi/pdf/10.1145/3711896.3737124
6,DiSa: Directional Saliency-Aware Prompt Learning for Generalizable Vision-Language Models,kdd,2025,https://dl.acm.org/doi/pdf/10.1145/3711896.3736911
7,GRAND : Graph Reconstruction from Potential Partial Adjacency and Neighborhood Data,kdd,2025,https://dl.acm.org/doi/pdf/10.1145/3711896.3736988
8,"FlexGNN: A High-Performance, Large-Scale Full-Graph GNN System with Best-Effort Training Plan Optimization",kdd,2025,https://dl.acm.org/doi/pdf/10.1145/3711896.3736964
9,A Unified Solution to Diverse Heterogeneities in One-Shot Federated Learning,kdd,2025,https://dl.acm.org/doi/pdf/10.1145/3711896.3736825
10,Progressive Stacking for Scalable Graph Condensation,kdd,2025,https://dl.acm.org/doi/pdf/10.1145/3711896.3737090
11,UnG-MoCha: Neural Motif Counting in Uncertain Graphs,kdd,2025,https://dl.acm.org/doi/pdf/10.1145/3711896.3737170
12,Quantizing Text-attributed Graphs for Semantic-Structural Integration,kdd,2025,https://dl.acm.org/doi/pdf/10.1145/3711896.3737096
13,ErrorEraser: Unlearning Data Bias for Improved Continual Learning,kdd,2025,https://dl.acm.org/doi/pdf/10.1145/3711896.3736941
14,CODA: Temporal Domain Generalization via Concept Drift Simulator,kdd,2025,https://dl.acm.org/doi/pdf/10.1145/3711896.3736883
15,Does Vector Quantization Fail in Spatio-Temporal Forecasting? Exploring a Differentiable Sparse Soft-Vector Quantization Approach,kdd,2025,https://dl.acm.org/doi/pdf/10.1145/3711896.3736914
16,Unlocking the Power of Diffusion Models in Sequential Recommendation: A Simple and Effective Approach,kdd,2025,https://dl.acm.org/doi/pdf/10.1145/3711896.3737172
