,title,conference,year,paper_url
0,Model Checking Linear Temporal Logic with Standpoint Modalities,kr,2025,https://proceedings.kr.org/2025/1/kr2025-0001-aghamov-et-al.pdf
1,Presburger Functional Synthesis: Complexity and Tractable Normal Forms,kr,2025,https://proceedings.kr.org/2025/2/kr2025-0002-akshay-et-al.pdf
2,Extending Abstract Argumentation Frameworks with Knowledge Bases,kr,2025,https://proceedings.kr.org/2025/3/kr2025-0003-alfano-et-al.pdf
3,Axiomatic Characterisations of Argumentation Semantics,kr,2025,https://proceedings.kr.org/2025/4/kr2025-0004-amgoud.pdf
4,Compactness and Preservation in Logical Argumentation Frameworks,kr,2025,https://proceedings.kr.org/2025/5/kr2025-0005-arieli-et-al.pdf
5,Reasoning with Restricted Statistical Statements in Probabilistic Answer Set Programming: Complexity and Algorithms,kr,2025,https://proceedings.kr.org/2025/6/kr2025-0006-azzolini-et-al.pdf
6,A Novel Framework for Reasoning over Optimization Problems in Probabilistic Answer Set Programming,kr,2025,https://proceedings.kr.org/2025/7/kr2025-0007-azzolini-et-al.pdf
7,Counting Solutions Under Cardinality Constraints: Structure Counts in Counting,kr,2025,https://proceedings.kr.org/2025/8/kr2025-0008-bannach-et-al.pdf
8,Guarded Fragments Meet Dynamic Logic: The Story of Regular Guards,kr,2025,https://proceedings.kr.org/2025/9/kr2025-0009-bednarczyk-et-al.pdf
9,FastFound: Easing the ASP Bottleneck via Predicate-Decoupled Grounding,kr,2025,https://proceedings.kr.org/2025/10/kr2025-0010-beiser-et-al.pdf
10,An Axiomatic Study of a Modular Evaluation of Enthymeme Decoding in Weighted Structured Argumentation,kr,2025,https://proceedings.kr.org/2025/11/kr2025-0011-ben-naim-et-al.pdf
11,Sequence Explanations for Acceptance in Abstract Argumentation,kr,2025,https://proceedings.kr.org/2025/12/kr2025-0012-bengel-et-al.pdf
12,A Reduct-based Approach to Skeptical Preferred Reasoning in Abstract Argumentation,kr,2025,https://proceedings.kr.org/2025/13/kr2025-0013-bengel-et-al.pdf
