,title,conference,year,paper_url
0,Digital Health,sigir,2025,https://dl.acm.org/doi/pdf/10.1145/3726302.3729951
1,"Please meet AI, Our Dear New Colleague. In other Words: Can Scientists and Machines Truly Cooperate",sigir,2025,https://dl.acm.org/doi/pdf/10.1145/3726302.3730057
2,BM25 and all that - a look back,sigir,2025,https://dl.acm.org/doi/pdf/10.1145/3726302.3729905
3,DiSCo: LLM Knowledge Distillation for Efficient Sparse Retrieval in Conversational Search,sigir,2025,https://dl.acm.org/doi/pdf/10.1145/3726302.3729966
4,Clarifying Ambiguities: on the Role of Ambiguity Types in Prompting Methods for Clarification Generation,sigir,2025,https://dl.acm.org/doi/pdf/10.1145/3726302.3729922
5,Beyond Whole Dialogue Modeling: Contextual Disentanglement for Conversational Recommendation,sigir,2025,https://dl.acm.org/doi/pdf/10.1145/3726302.3729903
6,MSCRS: Multi-modal Semantic Graph Prompt Learning Framework for Conversational Recommender Systems,sigir,2025,https://dl.acm.org/doi/pdf/10.1145/3726302.3730040
7,Action First: Leveraging Preference-Aware Actions for More Effective Decision-Making in Interactive Recommender Systems,sigir,2025,https://dl.acm.org/doi/pdf/10.1145/3726302.3729885
8,Bridging the Gap: From Ad-hoc to Proactive Search in Conversations,sigir,2025,https://dl.acm.org/doi/pdf/10.1145/3726302.3729915
9,Search-Based Interaction For Conversation Recommendation via Generative Reward Model Based Simulated User,sigir,2025,https://dl.acm.org/doi/pdf/10.1145/3726302.3730080
10,OmniNER2025: Diverse and Comprehensive Fine-Grained NER Dataset and Benchmark for Chinese,sigir,2025,https://dl.acm.org/doi/pdf/10.1145/3726302.3730048
11,LLM-Assisted Relevance Assessments: When Should We Ask LLMs for Help,sigir,2025,https://dl.acm.org/doi/pdf/10.1145/3726302.3729916
12,Advancing Ship Re-Identification in the Wild: The ShipReID-2400 Benchmark Dataset and D2InterNet Baseline Method,sigir,2025,https://dl.acm.org/doi/pdf/10.1145/3726302.3729892
13,μDS: Multi-Objective Data Snippet Extraction for Dataset Search,sigir,2025,https://dl.acm.org/doi/pdf/10.1145/3726302.3730120
14,IVCR-200K: A Large-Scale Multi-turn Dialogue Benchmark for Interactive Video Corpus Retrieval,sigir,2025,https://dl.acm.org/doi/pdf/10.1145/3726302.3730015
15,Rethinking Continual Knowledge Graph Embedding: Benchmarks and Analysis,sigir,2025,https://dl.acm.org/doi/pdf/10.1145/3726302.3730073
16,Towards Better Evaluating Multi-Query Sessions: A Measure Based on the Theory of Planned Behavior,sigir,2025,https://dl.acm.org/doi/pdf/10.1145/3726302.3730096
17,The Viability of Crowdsourcing for RAG Evaluation,sigir,2025,https://dl.acm.org/doi/pdf/10.1145/3726302.3730093
18,A New HOPE: Domain-agnostic Automatic Evaluation of Text Chunking,sigir,2025,https://dl.acm.org/doi/pdf/10.1145/3726302.3729882
19,The Great Nugget Recall: Automating Fact Extraction and RAG Evaluation with Large Language Models,sigir,2025,https://dl.acm.org/doi/pdf/10.1145/3726302.3730090
20,Preference-Strength-Aware Self-Improving Alignment with Generative Preference Models,sigir,2025,https://dl.acm.org/doi/pdf/10.1145/3726302.3730063
21,LLM-Empowered Creator Simulation for Long-Term Evaluation of Recommender Systems Under Information Asymmetry,sigir,2025,https://dl.acm.org/doi/pdf/10.1145/3726302.3730026
22,FashionDPO: Fine-tune Fashion Outfit Generation Model using Direct Preference Optimization,sigir,2025,https://dl.acm.org/doi/pdf/10.1145/3726302.3729976
23,Open-World Fine-Grained Fashion Retrieval with LLM-based Commonsense Knowledge Infusion,sigir,2025,https://dl.acm.org/doi/pdf/10.1145/3726302.3730050
24,Adaptive Structure Learning with Partial Parameter Sharing for Post-Click Conversion Rate Prediction,sigir,2025,https://dl.acm.org/doi/pdf/10.1145/3726302.3729887
25,Generative Auto-Bidding with Value-Guided Explorations,sigir,2025,https://dl.acm.org/doi/pdf/10.1145/3726302.3729987
26,AdSight: Scalable and Accurate Quantification of User Attention in Multi-Slot Sponsored Search,sigir,2025,https://dl.acm.org/doi/pdf/10.1145/3726302.3729891
27,ULP: Unlabeled Location Prediction from Text,sigir,2025,https://dl.acm.org/doi/pdf/10.1145/3726302.3730104
28,"Towards Accurate Social User Geolocation: Mean Shift, Incremental Learning and Graph Convolutional Networks",sigir,2025,https://dl.acm.org/doi/pdf/10.1145/3726302.3730095
29,Are Generative AI Agents Effective Personalized Financial Advisors,sigir,2025,https://dl.acm.org/doi/pdf/10.1145/3726302.3729897
30,Brain Image Reconstruction with Retrieval-Augmented Diffusion,sigir,2025,https://dl.acm.org/doi/pdf/10.1145/3726302.3729909
31,LIGHT: Enhancing Learning Path Recommendation via Knowledge Topology-Aware Sequence Optimization,sigir,2025,https://dl.acm.org/doi/pdf/10.1145/3726302.3730022
32,Interpretable Knowledge Tracing with Difficulty-Aware Attention and Selective State Space Model,sigir,2025,https://dl.acm.org/doi/pdf/10.1145/3726302.3730012
33,A Knowledge Extraction Framework on Cyber Threat Reports with Enhanced Security Profiles,sigir,2025,https://dl.acm.org/doi/pdf/10.1145/3726302.3729880
34,Enhancing the Patent Matching Capability of Large Language Models via the Memory Graph,sigir,2025,https://dl.acm.org/doi/pdf/10.1145/3726302.3729970
35,MIDI-Zero: A MIDI-driven Self-Supervised Learning Approach for Music Retrieval,sigir,2025,https://dl.acm.org/doi/pdf/10.1145/3726302.3730034
36,How Cohesive Are Community Search Results on Online Social Networks?: An Experimental Evaluation,sigir,2025,https://dl.acm.org/doi/pdf/10.1145/3726302.3729997
37,Mitigating Source Bias with LLM Alignment,sigir,2025,https://dl.acm.org/doi/pdf/10.1145/3726302.3730038
38,RankingSHAP - Faithful Listwise Feature Attribution Explanations for Ranking Models,sigir,2025,https://dl.acm.org/doi/pdf/10.1145/3726302.3729971
39,BotBR: Social Bot Detection with Balanced Feature Fusion and Reliability-Enhanced Graph Learning,sigir,2025,https://dl.acm.org/doi/pdf/10.1145/3726302.3729908
40,PATFinger: Prompt-Adapted Transferable Fingerprinting against Unauthorized Multimodal Dataset Usage,sigir,2025,https://dl.acm.org/doi/pdf/10.1145/3726302.3730054
41,Document Screenshot Retrievers are Vulnerable to Pixel Poisoning Attacks,sigir,2025,https://dl.acm.org/doi/pdf/10.1145/3726302.3730056
42,Joint Item Embedding Dual-view Exploration and Adaptive Local-Global Fusion for Federated Recommendation,sigir,2025,https://dl.acm.org/doi/pdf/10.1145/3726302.3730016
43,LLM-Generated Fake News Induces Truth Decay in News Ecosystem: A Case Study on Neural News Recommendation,sigir,2025,https://dl.acm.org/doi/pdf/10.1145/3726302.3730027
44,The Magnitude of Truth: On Using Magnitude Estimation for Truthfulness Assessment,sigir,2025,https://dl.acm.org/doi/pdf/10.1145/3726302.3730091
45,Efficiency and Effectiveness of LLM-Based Summarization of Evidence in Crowdsourced Fact-Checking,sigir,2025,https://dl.acm.org/doi/pdf/10.1145/3726302.3729960
46,Collaboration and Controversy Among Experts:  Rumor Early Detection by Tuning a Comment Generator,sigir,2025,https://dl.acm.org/doi/pdf/10.1145/3726302.3729928
