,title,conference,year,paper_url
0,Front Matter,vldb,2025,https://www.vldb.org/pvldb/vol18/FrontMatterVol18No1.pdf
1,"The Key to Effective UDF Optimization: Before Inlining, First Perform Outlining",vldb,2025,https://www.vldb.org/pvldb/vol18/p1-arch.pdf
2,CUTTANA: Scalable Graph Partitioning for Faster Distributed Graph Databases and Analytics,vldb,2025,https://www.vldb.org/pvldb/vol18/p14-hajidehi.pdf
3,Cardinality Estimation for Having-Clauses,vldb,2025,https://www.vldb.org/pvldb/vol18/p28-moerkotte.pdf
4,Chameleon: a Heterogeneous and Disaggregated Accelerator System for Retrieval-Augmented Language Models,vldb,2025,https://www.vldb.org/pvldb/vol18/p42-jiang.pdf
5,LLM-R2: A Large Language Model Enhanced Rule-based Rewrite System for Boosting Query Efficiency,vldb,2025,https://www.vldb.org/pvldb/vol18/p53-yuan.pdf
6,Nitro: Boosting Distributed Reinforcement Learning with Serverless Computing,vldb,2025,https://www.vldb.org/pvldb/vol18/p66-yu.pdf
7,Front Matter,vldb,2025,https://www.vldb.org/pvldb/vol18/FrontMatterVol18No2.pdf
8,RED: Effective Trajectory Representation Learning with Comprehensive Information,vldb,2025,https://www.vldb.org/pvldb/vol18/p80-zhou.pdf
9,Accurate and Fast Approximate Graph Pattern Mining at Scale,vldb,2025,https://www.vldb.org/pvldb/vol18/p93-chen.pdf
10,QueryArtisan: Generating Data Manipulation Codes for Ad-hoc Analysis in Data Lakes,vldb,2025,https://www.vldb.org/pvldb/vol18/p108-yao.pdf
11,Efficient and Effective Algorithms for A Family of Influence Maximization Problems with A Matroid Constraint,vldb,2025,https://www.vldb.org/pvldb/vol18/p117-huang.pdf
12,COLOR: A Framework for Applying Graph Coloring to Subgraph Cardinality Estimation,vldb,2025,https://www.vldb.org/pvldb/vol18/p130-deeds.pdf
13,Fully Automated Correlated Time Series Forecasting in Minutes,vldb,2025,https://www.vldb.org/pvldb/vol18/p144-wu.pdf
14,From Logs to Causal Inference: Diagnosing Large Systems,vldb,2025,https://www.vldb.org/pvldb/vol18/p158-markakis.pdf
15,NeutronTP: Load-Balanced Distributed Full-Graph GNN Training with Tensor Parallelism,vldb,2025,https://www.vldb.org/pvldb/vol18/p173-ai.pdf
16,Accuracy-enhanced Sparse Vector Technique with Exponential Noise and Optimal Threshold Correction,vldb,2025,https://www.vldb.org/pvldb/vol18/p187-liu.pdf
17,Maximum Defective Clique Computation: Improved Time Complexities and Practical Performance,vldb,2025,https://www.vldb.org/pvldb/vol18/p200-chang.pdf
18,Substructure-aware Log Anomaly Detection,vldb,2025,https://www.vldb.org/pvldb/vol18/p213-tang.pdf
19,Less is More: Efficient Time Series Dataset Condensation via Two-fold Modal Matching,vldb,2025,https://www.vldb.org/pvldb/vol18/p226-miao.pdf
20,A Memory Guided Transformer for Time Series Forecasting,vldb,2025,https://www.vldb.org/pvldb/vol18/p239-cheng.pdf
21,LEAP: LLM-powered End-to-end Automatic Library for Processing Social Science Queries on Unstructured Data,vldb,2025,https://www.vldb.org/pvldb/vol18/p253-hu.pdf
22,TEAM: Topological Evolution-aware Framework for Traffic Forecasting,vldb,2025,https://www.vldb.org/pvldb/vol18/p265-kieu.pdf
23,Chimera: A system design of dual storage and traversal-join unified query processing for SQL/PGQ,vldb,2025,https://www.vldb.org/pvldb/vol18/p279-lee.pdf
24,Can Graph Reordering Speed Up Graph Neural Network Training? An Experimental Study,vldb,2025,https://www.vldb.org/pvldb/vol18/p293-merkel.pdf
25,HyperBlocker: Accelerating Rule-based Blocking in Entity Resolution using GPUs,vldb,2025,https://www.vldb.org/pvldb/vol18/p308-xie.pdf
26,Calibrating Noise for Group Privacy in Subsampled Mechanisms,vldb,2025,https://www.vldb.org/pvldb/vol18/p322-jiang.pdf
27,Outback: Fast and Communication-efficient Index for Key-Value Store on Disaggregated Memory,vldb,2025,https://www.vldb.org/pvldb/vol18/p335-liu.pdf
28,Making CRDTs Not So Eventual,vldb,2025,https://www.vldb.org/pvldb/vol18/p349-mao.pdf
29,Maximum k-Plex Search: An Alternated Reduction-and-Bound Method,vldb,2025,https://www.vldb.org/pvldb/vol18/p363-liu.pdf
30,Discovering Leitmotifs in Multidimensional Time Series,vldb,2025,https://www.vldb.org/pvldb/vol18/p377-schafer.pdf
31,SIMformer: Single-Layer Vanilla Transformer Can Learn Free-Space Trajectory Similarity,vldb,2025,https://www.vldb.org/pvldb/vol18/p390-jiang.pdf
32,CUBIT: Concurrent Updatable Bitmap Indexing,vldb,2025,https://www.vldb.org/pvldb/vol18/p399-athanassoulis.pdf
33,Privacy-Enhanced Database Synthesis for Benchmark Publishing,vldb,2025,https://www.vldb.org/pvldb/vol18/p413-zheng.pdf
34,Themis: A GPU-accelerated Relational Query Execution Engine,vldb,2025,https://www.vldb.org/pvldb/vol18/p426-han.pdf
35,Finding Convincing Views to Endorse a Claim,vldb,2025,https://www.vldb.org/pvldb/vol18/p439-agmon.pdf
36,Quantifying Point Contributions: A Lightweight Framework for Efficient and Effective Query-Driven Trajectory Simplification,vldb,2025,https://www.vldb.org/pvldb/vol18/p453-gu.pdf
37,MILLION: A General Multi-Objective Framework with Controllable Risk for Portfolio Management,vldb,2025,https://www.vldb.org/pvldb/vol18/p466-zheng.pdf
38,The Cost of Representation by Subset Repairs,vldb,2025,https://www.vldb.org/pvldb/vol18/p475-liu.pdf
39,cedar: Optimized and Unified Machine Learning Input Data Pipelines,vldb,2025,https://www.vldb.org/pvldb/vol18/p488-zhao.pdf
40,Goku: A Schemaless Time Series Database for Large Scale Monitoring at Pinterest,vldb,2025,https://www.vldb.org/pvldb/vol18/p503-sanghavi.pdf
41,Front Matter,vldb,2025,https://www.vldb.org/pvldb/vol18/FrontMatterVol18No3.pdf
42,Agent-OM: Leveraging LLM Agents for Ontology Matching,vldb,2025,https://www.vldb.org/pvldb/vol18/p516-qiang.pdf
43,GraphAr: An Efficient Storage Scheme for Graph Data in Data Lakes,vldb,2025,https://www.vldb.org/pvldb/vol18/p530-li.pdf
44,Cardinality Estimation for Similarity Search on High-Dimensional Data Objects: The Impact of Reference Objects,vldb,2025,https://www.vldb.org/pvldb/vol18/p544-bao.pdf
45,Efficient Top-k Frequent Subgraph Mining Using Tight Upper and Lower Bounds,vldb,2025,https://www.vldb.org/pvldb/vol18/p557-park.pdf
46,MSGNN: Masked Schema based Graph Neural Networks,vldb,2025,https://www.vldb.org/pvldb/vol18/p571-liu.pdf
47,How Reliable Are Streams? End-to-End Processing-Guarantee Validation and Performance Benchmarking of Stream Processing Systems,vldb,2025,https://www.vldb.org/pvldb/vol18/p585-tahir.pdf
48,Towards Sufficient GPU-accelerated Dynamic Graph Management: Survey and Experiment,vldb,2025,https://www.vldb.org/pvldb/vol18/p599-lin.pdf
49,RDPro: Distributed Processing of Big Raster Data,vldb,2025,https://www.vldb.org/pvldb/vol18/p613-shang.pdf
